Treatment,Time_point,Family,variable,n,mean,sd
Imolope_low,T0,Comamonadaceae,Abundance,3,0.02,0.01
Lop_high,T0,Comamonadaceae,Abundance,3,0.011,0.014
Lop_low,T0,Comamonadaceae,Abundance,3,0.018,0.021
Saline,T0,Comamonadaceae,Abundance,3,0.031,0.038
DMSO,T24,Comamonadaceae,Abundance,3,0,0
Imolope_high,T24,Comamonadaceae,Abundance,3,0,0
Imolope_low,T24,Comamonadaceae,Abundance,3,0,0
Lop_high,T24,Comamonadaceae,Abundance,3,0,0
Lop_low,T24,Comamonadaceae,Abundance,3,0,0
Saline,T24,Comamonadaceae,Abundance,3,0,0
DMSO,T48,Comamonadaceae,Abundance,3,0,0
Imolope_high,T48,Comamonadaceae,Abundance,3,0,0
Imolope_low,T48,Comamonadaceae,Abundance,3,0,0
Lop_high,T48,Comamonadaceae,Abundance,3,0,0
Lop_low,T48,Comamonadaceae,Abundance,3,0,0
Saline,T48,Comamonadaceae,Abundance,3,0,0.001
DMSO,T72,Comamonadaceae,Abundance,3,0,0.001
Imolope_high,T72,Comamonadaceae,Abundance,3,0,0
Imolope_low,T72,Comamonadaceae,Abundance,3,0,0
Lop_high,T72,Comamonadaceae,Abundance,3,0,0
Lop_low,T72,Comamonadaceae,Abundance,3,0,0
Saline,T72,Comamonadaceae,Abundance,3,0,0.001
DMSO,T0,Coriobacteriaceae,Abundance,3,0.001,0.002
Imolope_high,T0,Coriobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Coriobacteriaceae,Abundance,3,0,0
Lop_high,T0,Coriobacteriaceae,Abundance,3,0.002,0.003
Lop_low,T0,Coriobacteriaceae,Abundance,3,0,0
Saline,T0,Coriobacteriaceae,Abundance,3,0,0
DMSO,T24,Coriobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Coriobacteriaceae,Abundance,3,0,0.001
Imolope_low,T24,Coriobacteriaceae,Abundance,3,0,0
Lop_high,T24,Coriobacteriaceae,Abundance,3,0,0.001
Lop_low,T24,Coriobacteriaceae,Abundance,3,0.001,0.001
Saline,T24,Coriobacteriaceae,Abundance,3,0,0.001
DMSO,T48,Coriobacteriaceae,Abundance,3,0,0
Imolope_high,T48,Coriobacteriaceae,Abundance,3,0,0
Imolope_low,T48,Coriobacteriaceae,Abundance,3,0,0.001
Lop_high,T48,Coriobacteriaceae,Abundance,3,0,0
Lop_low,T48,Coriobacteriaceae,Abundance,3,0,0
Saline,T48,Coriobacteriaceae,Abundance,3,0,0
DMSO,T72,Coriobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Coriobacteriaceae,Abundance,3,0,0
Imolope_low,T72,Coriobacteriaceae,Abundance,3,0,0
Lop_high,T72,Coriobacteriaceae,Abundance,3,0,0
Lop_low,T72,Coriobacteriaceae,Abundance,3,0,0
Saline,T72,Coriobacteriaceae,Abundance,3,0,0
DMSO,T0,Deinococcaceae,Abundance,3,0,0
Imolope_high,T0,Deinococcaceae,Abundance,3,0,0
Imolope_low,T0,Deinococcaceae,Abundance,3,0.001,0.003
Lop_high,T0,Deinococcaceae,Abundance,3,0.011,0.019
Lop_low,T0,Deinococcaceae,Abundance,3,0,0
Saline,T0,Deinococcaceae,Abundance,3,0,0
DMSO,T24,Deinococcaceae,Abundance,3,0,0
Imolope_high,T24,Deinococcaceae,Abundance,3,0,0
Imolope_low,T24,Deinococcaceae,Abundance,3,0,0
Lop_high,T24,Deinococcaceae,Abundance,3,0,0
Lop_low,T24,Deinococcaceae,Abundance,3,0,0
Saline,T24,Deinococcaceae,Abundance,3,0,0
DMSO,T48,Deinococcaceae,Abundance,3,0,0
Imolope_high,T48,Deinococcaceae,Abundance,3,0,0
Imolope_low,T48,Deinococcaceae,Abundance,3,0,0
Lop_high,T48,Deinococcaceae,Abundance,3,0,0
Lop_low,T48,Deinococcaceae,Abundance,3,0,0
Saline,T48,Deinococcaceae,Abundance,3,0,0
DMSO,T72,Deinococcaceae,Abundance,3,0,0
Imolope_high,T72,Deinococcaceae,Abundance,3,0,0
Imolope_low,T72,Deinococcaceae,Abundance,3,0,0
Lop_high,T72,Deinococcaceae,Abundance,3,0,0
Lop_low,T72,Deinococcaceae,Abundance,3,0,0
Saline,T72,Deinococcaceae,Abundance,3,0,0
DMSO,T0,Desulfovibrionaceae,Abundance,3,0.452,0.191
Imolope_high,T0,Desulfovibrionaceae,Abundance,3,0.452,0.036
Imolope_low,T0,Desulfovibrionaceae,Abundance,3,0.445,0.086
Lop_high,T0,Desulfovibrionaceae,Abundance,3,0.506,0.163
Lop_low,T0,Desulfovibrionaceae,Abundance,3,0.486,0.051
Saline,T0,Desulfovibrionaceae,Abundance,3,0.38,0.047
DMSO,T24,Desulfovibrionaceae,Abundance,3,0.001,0
Imolope_high,T24,Desulfovibrionaceae,Abundance,3,0.001,0.001
Imolope_low,T24,Desulfovibrionaceae,Abundance,3,0.001,0.002
Lop_high,T24,Desulfovibrionaceae,Abundance,3,0.001,0.002
Lop_low,T24,Desulfovibrionaceae,Abundance,3,0.003,0.001
Saline,T24,Desulfovibrionaceae,Abundance,3,0,0.001
DMSO,T48,Desulfovibrionaceae,Abundance,3,0.023,0.01
Imolope_high,T48,Desulfovibrionaceae,Abundance,3,0.013,0.005
Imolope_low,T48,Desulfovibrionaceae,Abundance,3,0.018,0.006
Lop_high,T48,Desulfovibrionaceae,Abundance,3,0.077,0.013
Lop_low,T48,Desulfovibrionaceae,Abundance,3,0.035,0.007
Saline,T48,Desulfovibrionaceae,Abundance,3,0.06,0.027
DMSO,T72,Desulfovibrionaceae,Abundance,3,0.37,0.059
Imolope_high,T72,Desulfovibrionaceae,Abundance,3,0.217,0.015
Imolope_low,T72,Desulfovibrionaceae,Abundance,3,0.262,0.025
Lop_high,T72,Desulfovibrionaceae,Abundance,3,0.767,0.02
Lop_low,T72,Desulfovibrionaceae,Abundance,3,0.383,0.066
Saline,T72,Desulfovibrionaceae,Abundance,3,0.612,0.067
DMSO,T0,Eggerthellaceae,Abundance,3,1.083,0.344
Imolope_high,T0,Eggerthellaceae,Abundance,3,1.443,0.173
Imolope_low,T0,Eggerthellaceae,Abundance,3,1.032,0.113
Lop_high,T0,Eggerthellaceae,Abundance,3,0.873,0.281
Lop_low,T0,Eggerthellaceae,Abundance,3,1.164,0.256
Saline,T0,Eggerthellaceae,Abundance,3,1.329,0.175
DMSO,T24,Eggerthellaceae,Abundance,3,0.027,0.029
Imolope_high,T24,Eggerthellaceae,Abundance,3,0.017,0.007
Imolope_low,T24,Eggerthellaceae,Abundance,3,0.035,0.022
Lop_high,T24,Eggerthellaceae,Abundance,3,0.021,0.017
Lop_low,T24,Eggerthellaceae,Abundance,3,0.013,0.003
Saline,T24,Eggerthellaceae,Abundance,3,0.064,0.02
DMSO,T48,Eggerthellaceae,Abundance,3,0.026,0.013
Imolope_high,T48,Eggerthellaceae,Abundance,3,0.019,0.007
Imolope_low,T48,Eggerthellaceae,Abundance,3,0.035,0.009
Lop_high,T48,Eggerthellaceae,Abundance,3,0.066,0.021
Lop_low,T48,Eggerthellaceae,Abundance,3,0.042,0.02
Saline,T48,Eggerthellaceae,Abundance,3,0.077,0.013
DMSO,T72,Eggerthellaceae,Abundance,3,0.049,0.011
Imolope_high,T72,Eggerthellaceae,Abundance,3,0.043,0.008
Imolope_low,T72,Eggerthellaceae,Abundance,3,0.039,0.012
Lop_high,T72,Eggerthellaceae,Abundance,3,0.066,0.035
Lop_low,T72,Eggerthellaceae,Abundance,3,0.044,0.002
Saline,T72,Eggerthellaceae,Abundance,3,0.223,0.285
DMSO,T0,Enterobacteriaceae,Abundance,3,4.563,6.087
Imolope_high,T0,Enterobacteriaceae,Abundance,3,0.596,0.442
Imolope_low,T0,Enterobacteriaceae,Abundance,3,0.437,0.424
Lop_high,T0,Enterobacteriaceae,Abundance,3,1.029,0.697
Lop_low,T0,Enterobacteriaceae,Abundance,3,0.869,0.978
Saline,T0,Enterobacteriaceae,Abundance,3,0.211,0.112
DMSO,T24,Enterobacteriaceae,Abundance,3,30.16,12.132
Imolope_high,T24,Enterobacteriaceae,Abundance,3,35.725,9.075
Imolope_low,T24,Enterobacteriaceae,Abundance,3,41.826,0.318
Lop_high,T24,Enterobacteriaceae,Abundance,3,45.659,6.861
Lop_low,T24,Enterobacteriaceae,Abundance,3,37.208,11.488
Saline,T24,Enterobacteriaceae,Abundance,3,40.055,1.353
DMSO,T48,Enterobacteriaceae,Abundance,3,43.542,1.14
Imolope_high,T48,Enterobacteriaceae,Abundance,3,43.748,1.207
Imolope_low,T48,Enterobacteriaceae,Abundance,3,40.353,0.878
Lop_high,T48,Enterobacteriaceae,Abundance,3,53.61,4.956
Lop_low,T48,Enterobacteriaceae,Abundance,3,45.516,2.119
Saline,T48,Enterobacteriaceae,Abundance,3,33.968,9.73
DMSO,T72,Enterobacteriaceae,Abundance,3,44.713,2.959
Imolope_high,T72,Enterobacteriaceae,Abundance,3,46.348,1.866
Imolope_low,T72,Enterobacteriaceae,Abundance,3,41.508,2.594
Lop_high,T72,Enterobacteriaceae,Abundance,3,51.225,0.987
Lop_low,T72,Enterobacteriaceae,Abundance,3,44.836,5.77
Saline,T72,Enterobacteriaceae,Abundance,3,37.403,2.356
DMSO,T0,Enterococcaceae,Abundance,3,0.018,0.009
Imolope_high,T0,Enterococcaceae,Abundance,3,0.014,0.009
Imolope_low,T0,Enterococcaceae,Abundance,3,0.013,0.007
Lop_high,T0,Enterococcaceae,Abundance,3,0.011,0.008
Lop_low,T0,Enterococcaceae,Abundance,3,0.033,0.022
Saline,T0,Enterococcaceae,Abundance,3,0.02,0.014
DMSO,T24,Enterococcaceae,Abundance,3,3.036,1.297
Imolope_high,T24,Enterococcaceae,Abundance,3,3.721,1.095
Imolope_low,T24,Enterococcaceae,Abundance,3,2.701,0.269
Lop_high,T24,Enterococcaceae,Abundance,3,2.58,0.494
Lop_low,T24,Enterococcaceae,Abundance,3,2.852,0.894
Saline,T24,Enterococcaceae,Abundance,3,1.995,0.21
DMSO,T48,Enterococcaceae,Abundance,3,3.67,0.51
Imolope_high,T48,Enterococcaceae,Abundance,3,3.83,0.311
Imolope_low,T48,Enterococcaceae,Abundance,3,4.805,0.545
Lop_high,T48,Enterococcaceae,Abundance,3,3.92,0.726
Lop_low,T48,Enterococcaceae,Abundance,3,3.909,0.173
Saline,T48,Enterococcaceae,Abundance,3,4.193,0.974
DMSO,T72,Enterococcaceae,Abundance,3,3.392,0.436
Imolope_high,T72,Enterococcaceae,Abundance,3,3.595,0.343
Imolope_low,T72,Enterococcaceae,Abundance,3,3.751,0.253
Lop_high,T72,Enterococcaceae,Abundance,3,3.001,0.459
Lop_low,T72,Enterococcaceae,Abundance,3,3.259,0.288
Saline,T72,Enterococcaceae,Abundance,3,5.429,3.179
DMSO,T0,Erysipelotrichaceae,Abundance,3,0.688,0.127
Imolope_high,T0,Erysipelotrichaceae,Abundance,3,0.712,0.072
Imolope_low,T0,Erysipelotrichaceae,Abundance,3,0.448,0.125
Lop_high,T0,Erysipelotrichaceae,Abundance,3,0.589,0.075
Lop_low,T0,Erysipelotrichaceae,Abundance,3,0.531,0.091
Saline,T0,Erysipelotrichaceae,Abundance,3,0.472,0.066
DMSO,T24,Erysipelotrichaceae,Abundance,3,0.048,0.022
Imolope_high,T24,Erysipelotrichaceae,Abundance,3,0.054,0.032
Imolope_low,T24,Erysipelotrichaceae,Abundance,3,0.068,0.007
Lop_high,T24,Erysipelotrichaceae,Abundance,3,0.094,0.023
Lop_low,T24,Erysipelotrichaceae,Abundance,3,0.053,0.022
Saline,T24,Erysipelotrichaceae,Abundance,3,0.081,0.01
DMSO,T48,Erysipelotrichaceae,Abundance,3,0.165,0.026
Imolope_high,T48,Erysipelotrichaceae,Abundance,3,0.105,0.026
Imolope_low,T48,Erysipelotrichaceae,Abundance,3,0.18,0.05
Lop_high,T48,Erysipelotrichaceae,Abundance,3,0.291,0.089
Lop_low,T48,Erysipelotrichaceae,Abundance,3,0.181,0.025
Saline,T48,Erysipelotrichaceae,Abundance,3,0.274,0.071
DMSO,T72,Erysipelotrichaceae,Abundance,3,0.288,0.012
Imolope_high,T72,Erysipelotrichaceae,Abundance,3,0.198,0.042
Imolope_low,T72,Erysipelotrichaceae,Abundance,3,0.322,0.07
Lop_high,T72,Erysipelotrichaceae,Abundance,3,0.32,0.072
Lop_low,T72,Erysipelotrichaceae,Abundance,3,0.255,0.031
Saline,T72,Erysipelotrichaceae,Abundance,3,0.357,0.08
DMSO,T0,Eubacteriaceae,Abundance,3,0.023,0.022
Imolope_high,T0,Eubacteriaceae,Abundance,3,0.027,0.03
Imolope_low,T0,Eubacteriaceae,Abundance,3,0.011,0.013
Lop_high,T0,Eubacteriaceae,Abundance,3,0.009,0.011
Lop_low,T0,Eubacteriaceae,Abundance,3,0.019,0.022
Saline,T0,Eubacteriaceae,Abundance,3,0.016,0.015
DMSO,T24,Eubacteriaceae,Abundance,3,0,0
Imolope_high,T24,Eubacteriaceae,Abundance,3,0,0
Imolope_low,T24,Eubacteriaceae,Abundance,3,0,0
Lop_high,T24,Eubacteriaceae,Abundance,3,0,0
Lop_low,T24,Eubacteriaceae,Abundance,3,0,0
Saline,T24,Eubacteriaceae,Abundance,3,0,0
DMSO,T48,Eubacteriaceae,Abundance,3,0,0
Imolope_high,T48,Eubacteriaceae,Abundance,3,0,0
Imolope_low,T48,Eubacteriaceae,Abundance,3,0,0
Lop_high,T48,Eubacteriaceae,Abundance,3,0,0
Lop_low,T48,Eubacteriaceae,Abundance,3,0,0
Saline,T48,Eubacteriaceae,Abundance,3,0,0
DMSO,T72,Eubacteriaceae,Abundance,3,0,0
Imolope_high,T72,Eubacteriaceae,Abundance,3,0,0
Imolope_low,T72,Eubacteriaceae,Abundance,3,0,0
Lop_high,T72,Eubacteriaceae,Abundance,3,0,0
Lop_low,T72,Eubacteriaceae,Abundance,3,0,0
Saline,T72,Eubacteriaceae,Abundance,3,0,0
DMSO,T0,Flavobacteriaceae,Abundance,3,0,0
Imolope_high,T0,Flavobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Flavobacteriaceae,Abundance,3,0.009,0.015
Lop_high,T0,Flavobacteriaceae,Abundance,3,0,0
Lop_low,T0,Flavobacteriaceae,Abundance,3,0,0
Saline,T0,Flavobacteriaceae,Abundance,3,0,0
DMSO,T24,Flavobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Flavobacteriaceae,Abundance,3,0,0
Imolope_low,T24,Flavobacteriaceae,Abundance,3,0,0
Lop_high,T24,Flavobacteriaceae,Abundance,3,0,0
Lop_low,T24,Flavobacteriaceae,Abundance,3,0,0
Saline,T24,Flavobacteriaceae,Abundance,3,0,0
DMSO,T48,Flavobacteriaceae,Abundance,3,0,0
Imolope_high,T48,Flavobacteriaceae,Abundance,3,0,0
Imolope_low,T48,Flavobacteriaceae,Abundance,3,0,0
Lop_high,T48,Flavobacteriaceae,Abundance,3,0,0
Lop_low,T48,Flavobacteriaceae,Abundance,3,0,0
Saline,T48,Flavobacteriaceae,Abundance,3,0,0
DMSO,T72,Flavobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Flavobacteriaceae,Abundance,3,0,0
Imolope_low,T72,Flavobacteriaceae,Abundance,3,0,0
Lop_high,T72,Flavobacteriaceae,Abundance,3,0,0
Lop_low,T72,Flavobacteriaceae,Abundance,3,0,0
Saline,T72,Flavobacteriaceae,Abundance,3,0,0
DMSO,T0,Labilitrichaceae,Abundance,3,0.014,0.021
Imolope_high,T0,Labilitrichaceae,Abundance,3,0,0
Imolope_low,T0,Labilitrichaceae,Abundance,3,0,0
Lop_high,T0,Labilitrichaceae,Abundance,3,0,0
Lop_low,T0,Labilitrichaceae,Abundance,3,0.001,0.003
Saline,T0,Labilitrichaceae,Abundance,3,0.001,0.002
DMSO,T24,Labilitrichaceae,Abundance,3,0,0
Imolope_high,T24,Labilitrichaceae,Abundance,3,0,0
Imolope_low,T24,Labilitrichaceae,Abundance,3,0,0
Lop_high,T24,Labilitrichaceae,Abundance,3,0,0
Lop_low,T24,Labilitrichaceae,Abundance,3,0,0
Saline,T24,Labilitrichaceae,Abundance,3,0,0
DMSO,T48,Labilitrichaceae,Abundance,3,0,0
Imolope_high,T48,Labilitrichaceae,Abundance,3,0,0
Imolope_low,T48,Labilitrichaceae,Abundance,3,0,0
Lop_high,T48,Labilitrichaceae,Abundance,3,0,0
Lop_low,T48,Labilitrichaceae,Abundance,3,0,0
Saline,T48,Labilitrichaceae,Abundance,3,0,0
DMSO,T72,Labilitrichaceae,Abundance,3,0,0
Imolope_high,T72,Labilitrichaceae,Abundance,3,0,0
Imolope_low,T72,Labilitrichaceae,Abundance,3,0,0
Lop_high,T72,Labilitrichaceae,Abundance,3,0,0
Lop_low,T72,Labilitrichaceae,Abundance,3,0,0
Saline,T72,Labilitrichaceae,Abundance,3,0,0
DMSO,T0,Lachnospiraceae,Abundance,3,9.669,1.497
Imolope_high,T0,Lachnospiraceae,Abundance,3,11.26,0.294
Imolope_low,T0,Lachnospiraceae,Abundance,3,8.431,0.877
Lop_high,T0,Lachnospiraceae,Abundance,3,10.054,1.768
Lop_low,T0,Lachnospiraceae,Abundance,3,10.53,1.918
Saline,T0,Lachnospiraceae,Abundance,3,9.345,1.198
DMSO,T24,Lachnospiraceae,Abundance,3,0.005,0.004
Imolope_high,T24,Lachnospiraceae,Abundance,3,0.006,0.01
Imolope_low,T24,Lachnospiraceae,Abundance,3,0.003,0.001
Lop_high,T24,Lachnospiraceae,Abundance,3,0.01,0.013
Lop_low,T24,Lachnospiraceae,Abundance,3,0.021,0.023
Saline,T24,Lachnospiraceae,Abundance,3,0.005,0.002
DMSO,T48,Lachnospiraceae,Abundance,3,0.027,0.022
Imolope_high,T48,Lachnospiraceae,Abundance,3,0.008,0.007
Imolope_low,T48,Lachnospiraceae,Abundance,3,0.02,0.013
Lop_high,T48,Lachnospiraceae,Abundance,3,0.027,0.008
Lop_low,T48,Lachnospiraceae,Abundance,3,0.084,0.094
Saline,T48,Lachnospiraceae,Abundance,3,0.09,0.064
DMSO,T72,Lachnospiraceae,Abundance,3,2.902,3.765
Imolope_high,T72,Lachnospiraceae,Abundance,3,0.873,1.172
Imolope_low,T72,Lachnospiraceae,Abundance,3,4.516,2.242
Lop_high,T72,Lachnospiraceae,Abundance,3,4.256,3.43
Lop_low,T72,Lachnospiraceae,Abundance,3,5.969,2.591
Saline,T72,Lachnospiraceae,Abundance,3,6.933,2.58
DMSO,T0,Lactobacillaceae,Abundance,3,55.915,1.418
Imolope_high,T0,Lactobacillaceae,Abundance,3,57.795,2.092
Imolope_low,T0,Lactobacillaceae,Abundance,3,62.414,0.411
Lop_high,T0,Lactobacillaceae,Abundance,3,60.78,7.686
Lop_low,T0,Lactobacillaceae,Abundance,3,59.328,4.989
Saline,T0,Lactobacillaceae,Abundance,3,65.981,3.183
DMSO,T24,Lactobacillaceae,Abundance,3,52.828,17.273
Imolope_high,T24,Lactobacillaceae,Abundance,3,44.721,12.967
Imolope_low,T24,Lactobacillaceae,Abundance,3,29.395,3.436
Lop_high,T24,Lactobacillaceae,Abundance,3,34.522,10.407
Lop_low,T24,Lactobacillaceae,Abundance,3,38.116,16.1
Saline,T24,Lactobacillaceae,Abundance,3,31.602,1.638
DMSO,T48,Lactobacillaceae,Abundance,3,26.492,1.708
Imolope_high,T48,Lactobacillaceae,Abundance,3,21.312,1.833
Imolope_low,T48,Lactobacillaceae,Abundance,3,21.971,1.678
Lop_high,T48,Lactobacillaceae,Abundance,3,15.67,1.484
Lop_low,T48,Lactobacillaceae,Abundance,3,20.784,2.67
Saline,T48,Lactobacillaceae,Abundance,3,27.243,4.468
DMSO,T72,Lactobacillaceae,Abundance,3,15.744,1.939
Imolope_high,T72,Lactobacillaceae,Abundance,3,12.701,0.911
Imolope_low,T72,Lactobacillaceae,Abundance,3,13.571,0.883
Lop_high,T72,Lactobacillaceae,Abundance,3,5.729,1.497
Lop_low,T72,Lactobacillaceae,Abundance,3,12.355,0.766
Saline,T72,Lactobacillaceae,Abundance,3,16.789,4.487
DMSO,T0,Listeriaceae,Abundance,3,0,0
Imolope_high,T0,Listeriaceae,Abundance,3,0,0
Imolope_low,T0,Listeriaceae,Abundance,3,0,0
Lop_high,T0,Listeriaceae,Abundance,3,0,0
Lop_low,T0,Listeriaceae,Abundance,3,0.004,0.007
Saline,T0,Listeriaceae,Abundance,3,0,0
DMSO,T24,Listeriaceae,Abundance,3,0,0.001
Imolope_high,T24,Listeriaceae,Abundance,3,0.001,0.002
Imolope_low,T24,Listeriaceae,Abundance,3,0.001,0.001
Lop_high,T24,Listeriaceae,Abundance,3,0.001,0.002
Lop_low,T24,Listeriaceae,Abundance,3,0,0
Saline,T24,Listeriaceae,Abundance,3,0.001,0.001
DMSO,T48,Listeriaceae,Abundance,3,0,0
Imolope_high,T48,Listeriaceae,Abundance,3,0,0.001
Imolope_low,T48,Listeriaceae,Abundance,3,0,0
Lop_high,T48,Listeriaceae,Abundance,3,0,0
Lop_low,T48,Listeriaceae,Abundance,3,0,0
Saline,T48,Listeriaceae,Abundance,3,0,0
DMSO,T72,Listeriaceae,Abundance,3,0.001,0.001
Imolope_high,T72,Listeriaceae,Abundance,3,0,0
Imolope_low,T72,Listeriaceae,Abundance,3,0,0
Lop_high,T72,Listeriaceae,Abundance,3,0,0
Lop_low,T72,Listeriaceae,Abundance,3,0,0
Saline,T72,Listeriaceae,Abundance,3,0,0.001
DMSO,T0,Methylobacteriaceae,Abundance,3,0.007,0.009
Imolope_high,T0,Methylobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Methylobacteriaceae,Abundance,3,0.005,0.009
Lop_high,T0,Methylobacteriaceae,Abundance,3,0,0
Lop_low,T0,Methylobacteriaceae,Abundance,3,0.008,0.014
Saline,T0,Methylobacteriaceae,Abundance,3,0.004,0.007
DMSO,T24,Methylobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Methylobacteriaceae,Abundance,3,0,0
Imolope_low,T24,Methylobacteriaceae,Abundance,3,0,0
Lop_high,T24,Methylobacteriaceae,Abundance,3,0,0
Lop_low,T24,Methylobacteriaceae,Abundance,3,0,0
Saline,T24,Methylobacteriaceae,Abundance,3,0,0
DMSO,T48,Methylobacteriaceae,Abundance,3,0,0
Imolope_high,T48,Methylobacteriaceae,Abundance,3,0,0
Imolope_low,T48,Methylobacteriaceae,Abundance,3,0,0
Lop_high,T48,Methylobacteriaceae,Abundance,3,0,0
Lop_low,T48,Methylobacteriaceae,Abundance,3,0,0
Saline,T48,Methylobacteriaceae,Abundance,3,0,0
DMSO,T72,Methylobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Methylobacteriaceae,Abundance,3,0,0
Imolope_low,T72,Methylobacteriaceae,Abundance,3,0,0
Lop_high,T72,Methylobacteriaceae,Abundance,3,0,0
Lop_low,T72,Methylobacteriaceae,Abundance,3,0,0.001
Saline,T72,Methylobacteriaceae,Abundance,3,0,0
DMSO,T0,Micrococcaceae,Abundance,3,0,0
Imolope_high,T0,Micrococcaceae,Abundance,3,0,0
Imolope_low,T0,Micrococcaceae,Abundance,3,0,0
Lop_high,T0,Micrococcaceae,Abundance,3,0.002,0.003
Lop_low,T0,Micrococcaceae,Abundance,3,0.042,0.072
Saline,T0,Micrococcaceae,Abundance,3,0,0
DMSO,T24,Micrococcaceae,Abundance,3,0,0
Imolope_high,T24,Micrococcaceae,Abundance,3,0,0
Imolope_low,T24,Micrococcaceae,Abundance,3,0,0
Lop_high,T24,Micrococcaceae,Abundance,3,0,0
Lop_low,T24,Micrococcaceae,Abundance,3,0,0
Saline,T24,Micrococcaceae,Abundance,3,0,0
DMSO,T48,Micrococcaceae,Abundance,3,0,0
Imolope_high,T48,Micrococcaceae,Abundance,3,0,0
Imolope_low,T48,Micrococcaceae,Abundance,3,0,0
Lop_high,T48,Micrococcaceae,Abundance,3,0,0
Lop_low,T48,Micrococcaceae,Abundance,3,0,0
Saline,T48,Micrococcaceae,Abundance,3,0,0
DMSO,T72,Micrococcaceae,Abundance,3,0,0
Imolope_high,T72,Micrococcaceae,Abundance,3,0,0
Imolope_low,T72,Micrococcaceae,Abundance,3,0,0
Lop_high,T72,Micrococcaceae,Abundance,3,0,0
Lop_low,T72,Micrococcaceae,Abundance,3,0,0
Saline,T72,Micrococcaceae,Abundance,3,0,0
DMSO,T0,Micropepsaceae,Abundance,3,0,0
Imolope_high,T0,Micropepsaceae,Abundance,3,0,0
Imolope_low,T0,Micropepsaceae,Abundance,3,0.006,0.006
Lop_high,T0,Micropepsaceae,Abundance,3,0.002,0.003
Lop_low,T0,Micropepsaceae,Abundance,3,0.004,0.008
Saline,T0,Micropepsaceae,Abundance,3,0,0
DMSO,T24,Micropepsaceae,Abundance,3,0,0
Imolope_high,T24,Micropepsaceae,Abundance,3,0,0
Imolope_low,T24,Micropepsaceae,Abundance,3,0,0
Lop_high,T24,Micropepsaceae,Abundance,3,0,0
Lop_low,T24,Micropepsaceae,Abundance,3,0,0
Saline,T24,Micropepsaceae,Abundance,3,0,0
DMSO,T48,Micropepsaceae,Abundance,3,0,0
Imolope_high,T48,Micropepsaceae,Abundance,3,0,0
Imolope_low,T48,Micropepsaceae,Abundance,3,0,0
Lop_high,T48,Micropepsaceae,Abundance,3,0,0
Lop_low,T48,Micropepsaceae,Abundance,3,0,0
Saline,T48,Micropepsaceae,Abundance,3,0,0
DMSO,T72,Micropepsaceae,Abundance,3,0,0
Imolope_high,T72,Micropepsaceae,Abundance,3,0,0
Imolope_low,T72,Micropepsaceae,Abundance,3,0,0
Lop_high,T72,Micropepsaceae,Abundance,3,0,0
Lop_low,T72,Micropepsaceae,Abundance,3,0,0
Saline,T72,Micropepsaceae,Abundance,3,0,0
DMSO,T0,Moraxellaceae,Abundance,3,0,0
Imolope_high,T0,Moraxellaceae,Abundance,3,0.009,0.009
Imolope_low,T0,Moraxellaceae,Abundance,3,0.427,0.66
Lop_high,T0,Moraxellaceae,Abundance,3,0.003,0.003
Lop_low,T0,Moraxellaceae,Abundance,3,0.01,0.008
Saline,T0,Moraxellaceae,Abundance,3,0.005,0.009
DMSO,T24,Moraxellaceae,Abundance,3,0,0
Imolope_high,T24,Moraxellaceae,Abundance,3,0,0
Imolope_low,T24,Moraxellaceae,Abundance,3,0,0
Lop_high,T24,Moraxellaceae,Abundance,3,0,0
Lop_low,T24,Moraxellaceae,Abundance,3,0,0
Saline,T24,Moraxellaceae,Abundance,3,0,0
DMSO,T48,Moraxellaceae,Abundance,3,0,0
Imolope_high,T48,Moraxellaceae,Abundance,3,0,0
Imolope_low,T48,Moraxellaceae,Abundance,3,0,0.001
Lop_high,T48,Moraxellaceae,Abundance,3,0,0
Lop_low,T48,Moraxellaceae,Abundance,3,0,0
Saline,T48,Moraxellaceae,Abundance,3,0,0
DMSO,T72,Moraxellaceae,Abundance,3,0,0
Imolope_high,T72,Moraxellaceae,Abundance,3,0,0
Imolope_low,T72,Moraxellaceae,Abundance,3,0,0
Lop_high,T72,Moraxellaceae,Abundance,3,0,0
Lop_low,T72,Moraxellaceae,Abundance,3,0,0
Saline,T72,Moraxellaceae,Abundance,3,0,0
DMSO,T0,Muribaculaceae,Abundance,3,17.321,5.004
Imolope_high,T0,Muribaculaceae,Abundance,3,16.95,2.124
Imolope_low,T0,Muribaculaceae,Abundance,3,14.816,2.391
Lop_high,T0,Muribaculaceae,Abundance,3,15.829,3.564
Lop_low,T0,Muribaculaceae,Abundance,3,15.964,2.661
Saline,T0,Muribaculaceae,Abundance,3,12.774,2.466
DMSO,T24,Muribaculaceae,Abundance,3,0.62,0.202
Imolope_high,T24,Muribaculaceae,Abundance,3,0.865,0.236
Imolope_low,T24,Muribaculaceae,Abundance,3,1.955,0.171
