Treatment,Time_point,Genus,variable,n,mean,sd
Lop_high,T48,Faecalibaculum,Abundance,3,0.258,0.064
Lop_low,T48,Faecalibaculum,Abundance,3,0.169,0.029
Saline,T48,Faecalibaculum,Abundance,3,0.253,0.056
DMSO,T72,Faecalibaculum,Abundance,3,0.138,0.005
Imolope_high,T72,Faecalibaculum,Abundance,3,0.101,0.026
Imolope_low,T72,Faecalibaculum,Abundance,3,0.174,0.043
Lop_high,T72,Faecalibaculum,Abundance,3,0.134,0.031
Lop_low,T72,Faecalibaculum,Abundance,3,0.137,0.009
Saline,T72,Faecalibaculum,Abundance,3,0.245,0.058
DMSO,T0,Family_Bacillaceae_1,Abundance,3,0.001,0.002
Imolope_high,T0,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_low,T0,Family_Bacillaceae_1,Abundance,3,0,0
Lop_high,T0,Family_Bacillaceae_1,Abundance,3,0.002,0.003
Lop_low,T0,Family_Bacillaceae_1,Abundance,3,0.005,0.006
Saline,T0,Family_Bacillaceae_1,Abundance,3,0,0
DMSO,T24,Family_Bacillaceae_1,Abundance,3,0,0.001
Imolope_high,T24,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_low,T24,Family_Bacillaceae_1,Abundance,3,0.002,0.004
Lop_high,T24,Family_Bacillaceae_1,Abundance,3,0.003,0.006
Lop_low,T24,Family_Bacillaceae_1,Abundance,3,0,0.001
Saline,T24,Family_Bacillaceae_1,Abundance,3,0.001,0.002
DMSO,T48,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_high,T48,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_low,T48,Family_Bacillaceae_1,Abundance,3,0,0
Lop_high,T48,Family_Bacillaceae_1,Abundance,3,0,0
Lop_low,T48,Family_Bacillaceae_1,Abundance,3,0,0
Saline,T48,Family_Bacillaceae_1,Abundance,3,0,0
DMSO,T72,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_high,T72,Family_Bacillaceae_1,Abundance,3,0,0
Imolope_low,T72,Family_Bacillaceae_1,Abundance,3,0,0
Lop_high,T72,Family_Bacillaceae_1,Abundance,3,0,0
Lop_low,T72,Family_Bacillaceae_1,Abundance,3,0,0.001
Saline,T72,Family_Bacillaceae_1,Abundance,3,0,0.001
DMSO,T0,Family_Bacteroidaceae,Abundance,3,0,0
Imolope_high,T0,Family_Bacteroidaceae,Abundance,3,0,0
Imolope_low,T0,Family_Bacteroidaceae,Abundance,3,0,0
Lop_high,T0,Family_Bacteroidaceae,Abundance,3,0,0
Lop_low,T0,Family_Bacteroidaceae,Abundance,3,0,0
Saline,T0,Family_Bacteroidaceae,Abundance,3,0,0
DMSO,T24,Family_Bacteroidaceae,Abundance,3,0,0
Imolope_high,T24,Family_Bacteroidaceae,Abundance,3,0.001,0.001
Imolope_low,T24,Family_Bacteroidaceae,Abundance,3,0,0.001
Lop_high,T24,Family_Bacteroidaceae,Abundance,3,0.001,0.001
Lop_low,T24,Family_Bacteroidaceae,Abundance,3,0,0
Saline,T24,Family_Bacteroidaceae,Abundance,3,0.001,0.001
DMSO,T48,Family_Bacteroidaceae,Abundance,3,0.003,0.002
Imolope_high,T48,Family_Bacteroidaceae,Abundance,3,0.003,0.003
Imolope_low,T48,Family_Bacteroidaceae,Abundance,3,0.003,0.002
Lop_high,T48,Family_Bacteroidaceae,Abundance,3,0.002,0.001
Lop_low,T48,Family_Bacteroidaceae,Abundance,3,0.001,0.001
Saline,T48,Family_Bacteroidaceae,Abundance,3,0.003,0.001
DMSO,T72,Family_Bacteroidaceae,Abundance,3,0.003,0.001
Imolope_high,T72,Family_Bacteroidaceae,Abundance,3,0.002,0.001
Imolope_low,T72,Family_Bacteroidaceae,Abundance,3,0.003,0.002
Lop_high,T72,Family_Bacteroidaceae,Abundance,3,0.002,0.002
Lop_low,T72,Family_Bacteroidaceae,Abundance,3,0.003,0.002
Saline,T72,Family_Bacteroidaceae,Abundance,3,0.004,0.001
DMSO,T0,Family_Bradyrhizobiaceae,Abundance,3,0.013,0.017
Imolope_high,T0,Family_Bradyrhizobiaceae,Abundance,3,0.001,0.002
Imolope_low,T0,Family_Bradyrhizobiaceae,Abundance,3,0.006,0.006
Lop_high,T0,Family_Bradyrhizobiaceae,Abundance,3,0.002,0.003
Lop_low,T0,Family_Bradyrhizobiaceae,Abundance,3,0.003,0.005
Saline,T0,Family_Bradyrhizobiaceae,Abundance,3,0.004,0.006
DMSO,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
Saline,T24,Family_Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
Saline,T48,Family_Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0.001
Saline,T72,Family_Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T0,Family_Desulfovibrionaceae,Abundance,3,0.452,0.191
Imolope_high,T0,Family_Desulfovibrionaceae,Abundance,3,0.452,0.036
Imolope_low,T0,Family_Desulfovibrionaceae,Abundance,3,0.445,0.086
Lop_high,T0,Family_Desulfovibrionaceae,Abundance,3,0.506,0.163
Lop_low,T0,Family_Desulfovibrionaceae,Abundance,3,0.486,0.051
Saline,T0,Family_Desulfovibrionaceae,Abundance,3,0.38,0.047
DMSO,T24,Family_Desulfovibrionaceae,Abundance,3,0.001,0
Imolope_high,T24,Family_Desulfovibrionaceae,Abundance,3,0.001,0.001
Imolope_low,T24,Family_Desulfovibrionaceae,Abundance,3,0.001,0.002
Lop_high,T24,Family_Desulfovibrionaceae,Abundance,3,0.001,0.002
Lop_low,T24,Family_Desulfovibrionaceae,Abundance,3,0.003,0.001
Saline,T24,Family_Desulfovibrionaceae,Abundance,3,0,0.001
DMSO,T48,Family_Desulfovibrionaceae,Abundance,3,0.023,0.01
Imolope_high,T48,Family_Desulfovibrionaceae,Abundance,3,0.013,0.005
Imolope_low,T48,Family_Desulfovibrionaceae,Abundance,3,0.018,0.006
Lop_high,T48,Family_Desulfovibrionaceae,Abundance,3,0.077,0.013
Lop_low,T48,Family_Desulfovibrionaceae,Abundance,3,0.035,0.007
Saline,T48,Family_Desulfovibrionaceae,Abundance,3,0.06,0.027
DMSO,T72,Family_Desulfovibrionaceae,Abundance,3,0.37,0.059
Imolope_high,T72,Family_Desulfovibrionaceae,Abundance,3,0.217,0.015
Imolope_low,T72,Family_Desulfovibrionaceae,Abundance,3,0.262,0.025
Lop_high,T72,Family_Desulfovibrionaceae,Abundance,3,0.767,0.02
Lop_low,T72,Family_Desulfovibrionaceae,Abundance,3,0.383,0.066
Saline,T72,Family_Desulfovibrionaceae,Abundance,3,0.612,0.067
DMSO,T0,Family_Eggerthellaceae,Abundance,3,0.109,0.063
Imolope_high,T0,Family_Eggerthellaceae,Abundance,3,0.116,0.01
Imolope_low,T0,Family_Eggerthellaceae,Abundance,3,0.068,0.017
Lop_high,T0,Family_Eggerthellaceae,Abundance,3,0.072,0.037
Lop_low,T0,Family_Eggerthellaceae,Abundance,3,0.122,0.023
Saline,T0,Family_Eggerthellaceae,Abundance,3,0.089,0.044
DMSO,T24,Family_Eggerthellaceae,Abundance,3,0.008,0.008
Imolope_high,T24,Family_Eggerthellaceae,Abundance,3,0.008,0.003
Imolope_low,T24,Family_Eggerthellaceae,Abundance,3,0.007,0.006
Lop_high,T24,Family_Eggerthellaceae,Abundance,3,0.003,0.006
Lop_low,T24,Family_Eggerthellaceae,Abundance,3,0.006,0.006
Saline,T24,Family_Eggerthellaceae,Abundance,3,0.006,0.002
DMSO,T48,Family_Eggerthellaceae,Abundance,3,0.002,0.001
Imolope_high,T48,Family_Eggerthellaceae,Abundance,3,0.004,0.002
Imolope_low,T48,Family_Eggerthellaceae,Abundance,3,0.003,0
Lop_high,T48,Family_Eggerthellaceae,Abundance,3,0.01,0.004
Lop_low,T48,Family_Eggerthellaceae,Abundance,3,0.007,0.004
Saline,T48,Family_Eggerthellaceae,Abundance,3,0.007,0.002
DMSO,T72,Family_Eggerthellaceae,Abundance,3,0.004,0.001
Imolope_high,T72,Family_Eggerthellaceae,Abundance,3,0.005,0.002
Imolope_low,T72,Family_Eggerthellaceae,Abundance,3,0.005,0.004
Lop_high,T72,Family_Eggerthellaceae,Abundance,3,0.008,0.002
Lop_low,T72,Family_Eggerthellaceae,Abundance,3,0.01,0.002
Saline,T72,Family_Eggerthellaceae,Abundance,3,0.024,0.024
DMSO,T0,Family_Enterococcaceae,Abundance,3,0,0
Imolope_high,T0,Family_Enterococcaceae,Abundance,3,0,0
Imolope_low,T0,Family_Enterococcaceae,Abundance,3,0,0
Lop_high,T0,Family_Enterococcaceae,Abundance,3,0,0
Lop_low,T0,Family_Enterococcaceae,Abundance,3,0,0
Saline,T0,Family_Enterococcaceae,Abundance,3,0,0
DMSO,T24,Family_Enterococcaceae,Abundance,3,0.003,0.002
Imolope_high,T24,Family_Enterococcaceae,Abundance,3,0.001,0.001
Imolope_low,T24,Family_Enterococcaceae,Abundance,3,0.002,0.001
Lop_high,T24,Family_Enterococcaceae,Abundance,3,0.003,0.002
Lop_low,T24,Family_Enterococcaceae,Abundance,3,0.003,0.001
Saline,T24,Family_Enterococcaceae,Abundance,3,0.001,0.002
DMSO,T48,Family_Enterococcaceae,Abundance,3,0.006,0.003
Imolope_high,T48,Family_Enterococcaceae,Abundance,3,0.004,0.001
Imolope_low,T48,Family_Enterococcaceae,Abundance,3,0.009,0.003
Lop_high,T48,Family_Enterococcaceae,Abundance,3,0.006,0.003
Lop_low,T48,Family_Enterococcaceae,Abundance,3,0.007,0.003
Saline,T48,Family_Enterococcaceae,Abundance,3,0.007,0.006
DMSO,T72,Family_Enterococcaceae,Abundance,3,0.004,0.002
Imolope_high,T72,Family_Enterococcaceae,Abundance,3,0.005,0.001
Imolope_low,T72,Family_Enterococcaceae,Abundance,3,0.006,0.002
Lop_high,T72,Family_Enterococcaceae,Abundance,3,0.003,0.002
Lop_low,T72,Family_Enterococcaceae,Abundance,3,0.002,0.001
Saline,T72,Family_Enterococcaceae,Abundance,3,0.007,0.007
DMSO,T0,Family_Erysipelotrichaceae,Abundance,3,0.08,0.024
Imolope_high,T0,Family_Erysipelotrichaceae,Abundance,3,0.077,0.016
Imolope_low,T0,Family_Erysipelotrichaceae,Abundance,3,0.05,0.026
Lop_high,T0,Family_Erysipelotrichaceae,Abundance,3,0.081,0.051
Lop_low,T0,Family_Erysipelotrichaceae,Abundance,3,0.057,0.029
Saline,T0,Family_Erysipelotrichaceae,Abundance,3,0.058,0.013
DMSO,T24,Family_Erysipelotrichaceae,Abundance,3,0,0
Imolope_high,T24,Family_Erysipelotrichaceae,Abundance,3,0.001,0.002
Imolope_low,T24,Family_Erysipelotrichaceae,Abundance,3,0,0
Lop_high,T24,Family_Erysipelotrichaceae,Abundance,3,0,0
Lop_low,T24,Family_Erysipelotrichaceae,Abundance,3,0,0
Saline,T24,Family_Erysipelotrichaceae,Abundance,3,0,0
DMSO,T48,Family_Erysipelotrichaceae,Abundance,3,0,0.001
Imolope_high,T48,Family_Erysipelotrichaceae,Abundance,3,0,0.001
Imolope_low,T48,Family_Erysipelotrichaceae,Abundance,3,0,0.001
Lop_high,T48,Family_Erysipelotrichaceae,Abundance,3,0,0
Lop_low,T48,Family_Erysipelotrichaceae,Abundance,3,0,0
Saline,T48,Family_Erysipelotrichaceae,Abundance,3,0,0
DMSO,T72,Family_Erysipelotrichaceae,Abundance,3,0.008,0.014
Imolope_high,T72,Family_Erysipelotrichaceae,Abundance,3,0,0
Imolope_low,T72,Family_Erysipelotrichaceae,Abundance,3,0.004,0.003
Lop_high,T72,Family_Erysipelotrichaceae,Abundance,3,0,0
Lop_low,T72,Family_Erysipelotrichaceae,Abundance,3,0.004,0.008
Saline,T72,Family_Erysipelotrichaceae,Abundance,3,0.01,0.011
DMSO,T0,Family_Lachnospiraceae,Abundance,3,9.367,1.395
Imolope_high,T0,Family_Lachnospiraceae,Abundance,3,10.932,0.363
Imolope_low,T0,Family_Lachnospiraceae,Abundance,3,8.197,0.856
Lop_high,T0,Family_Lachnospiraceae,Abundance,3,9.782,1.726
Lop_low,T0,Family_Lachnospiraceae,Abundance,3,10.205,1.885
Saline,T0,Family_Lachnospiraceae,Abundance,3,9.169,1.179
DMSO,T24,Family_Lachnospiraceae,Abundance,3,0.005,0.004
Imolope_high,T24,Family_Lachnospiraceae,Abundance,3,0.006,0.01
Imolope_low,T24,Family_Lachnospiraceae,Abundance,3,0.003,0.001
Lop_high,T24,Family_Lachnospiraceae,Abundance,3,0.01,0.013
Lop_low,T24,Family_Lachnospiraceae,Abundance,3,0.02,0.021
Saline,T24,Family_Lachnospiraceae,Abundance,3,0.005,0.001
DMSO,T48,Family_Lachnospiraceae,Abundance,3,0.027,0.022
Imolope_high,T48,Family_Lachnospiraceae,Abundance,3,0.008,0.007
Imolope_low,T48,Family_Lachnospiraceae,Abundance,3,0.02,0.012
Lop_high,T48,Family_Lachnospiraceae,Abundance,3,0.027,0.008
Lop_low,T48,Family_Lachnospiraceae,Abundance,3,0.083,0.092
Saline,T48,Family_Lachnospiraceae,Abundance,3,0.09,0.064
DMSO,T72,Family_Lachnospiraceae,Abundance,3,2.834,3.656
Imolope_high,T72,Family_Lachnospiraceae,Abundance,3,0.872,1.171
Imolope_low,T72,Family_Lachnospiraceae,Abundance,3,4.483,2.195
Lop_high,T72,Family_Lachnospiraceae,Abundance,3,4.255,3.429
Lop_low,T72,Family_Lachnospiraceae,Abundance,3,5.811,2.521
Saline,T72,Family_Lachnospiraceae,Abundance,3,6.926,2.578
DMSO,T0,Family_Muribaculaceae,Abundance,3,0.042,0.026
Imolope_high,T0,Family_Muribaculaceae,Abundance,3,0.088,0.045
Imolope_low,T0,Family_Muribaculaceae,Abundance,3,0.044,0.023
Lop_high,T0,Family_Muribaculaceae,Abundance,3,0.035,0.022
Lop_low,T0,Family_Muribaculaceae,Abundance,3,0.04,0.02
Saline,T0,Family_Muribaculaceae,Abundance,3,0.045,0.016
DMSO,T24,Family_Muribaculaceae,Abundance,3,0.002,0.001
Imolope_high,T24,Family_Muribaculaceae,Abundance,3,0.002,0.002
Imolope_low,T24,Family_Muribaculaceae,Abundance,3,0.003,0.001
Lop_high,T24,Family_Muribaculaceae,Abundance,3,0.002,0.001
Lop_low,T24,Family_Muribaculaceae,Abundance,3,0.001,0.001
Saline,T24,Family_Muribaculaceae,Abundance,3,0.001,0.001
DMSO,T48,Family_Muribaculaceae,Abundance,3,0,0
Imolope_high,T48,Family_Muribaculaceae,Abundance,3,0.001,0.002
Imolope_low,T48,Family_Muribaculaceae,Abundance,3,0.002,0.001
Lop_high,T48,Family_Muribaculaceae,Abundance,3,0.001,0.001
Lop_low,T48,Family_Muribaculaceae,Abundance,3,0.002,0.001
Saline,T48,Family_Muribaculaceae,Abundance,3,0.001,0.001
DMSO,T72,Family_Muribaculaceae,Abundance,3,0.001,0.001
Imolope_high,T72,Family_Muribaculaceae,Abundance,3,0.002,0.002
Imolope_low,T72,Family_Muribaculaceae,Abundance,3,0.001,0.002
Lop_high,T72,Family_Muribaculaceae,Abundance,3,0.001,0.001
Lop_low,T72,Family_Muribaculaceae,Abundance,3,0.002,0.001
Saline,T72,Family_Muribaculaceae,Abundance,3,0,0.001
DMSO,T0,Family_Ruminococcaceae,Abundance,3,1.764,0.449
Imolope_high,T0,Family_Ruminococcaceae,Abundance,3,2.206,0.147
Imolope_low,T0,Family_Ruminococcaceae,Abundance,3,1.557,0.468
Lop_high,T0,Family_Ruminococcaceae,Abundance,3,1.832,0.828
Lop_low,T0,Family_Ruminococcaceae,Abundance,3,2.097,0.293
Saline,T0,Family_Ruminococcaceae,Abundance,3,1.732,0.26
DMSO,T24,Family_Ruminococcaceae,Abundance,3,0.001,0.001
Imolope_high,T24,Family_Ruminococcaceae,Abundance,3,0.002,0.001
Imolope_low,T24,Family_Ruminococcaceae,Abundance,3,0.003,0.001
Lop_high,T24,Family_Ruminococcaceae,Abundance,3,0.003,0.004
Lop_low,T24,Family_Ruminococcaceae,Abundance,3,0.009,0.006
Saline,T24,Family_Ruminococcaceae,Abundance,3,0.002,0.001
DMSO,T48,Family_Ruminococcaceae,Abundance,3,0.011,0.001
Imolope_high,T48,Family_Ruminococcaceae,Abundance,3,0.006,0.001
Imolope_low,T48,Family_Ruminococcaceae,Abundance,3,0.025,0.002
Lop_high,T48,Family_Ruminococcaceae,Abundance,3,0.039,0.014
Lop_low,T48,Family_Ruminococcaceae,Abundance,3,0.025,0.001
Saline,T48,Family_Ruminococcaceae,Abundance,3,0.049,0.003
DMSO,T72,Family_Ruminococcaceae,Abundance,3,1.574,0.297
Imolope_high,T72,Family_Ruminococcaceae,Abundance,3,0.398,0.096
Imolope_low,T72,Family_Ruminococcaceae,Abundance,3,1.049,0.263
Lop_high,T72,Family_Ruminococcaceae,Abundance,3,2.663,0.439
Lop_low,T72,Family_Ruminococcaceae,Abundance,3,2.23,0.076
Saline,T72,Family_Ruminococcaceae,Abundance,3,2.253,0.697
DMSO,T0,Family_Veillonellaceae,Abundance,3,0.011,0.019
Imolope_high,T0,Family_Veillonellaceae,Abundance,3,0,0
Imolope_low,T0,Family_Veillonellaceae,Abundance,3,0,0
Lop_high,T0,Family_Veillonellaceae,Abundance,3,0,0
Lop_low,T0,Family_Veillonellaceae,Abundance,3,0,0
Saline,T0,Family_Veillonellaceae,Abundance,3,0,0
DMSO,T24,Family_Veillonellaceae,Abundance,3,0,0
Imolope_high,T24,Family_Veillonellaceae,Abundance,3,0,0
Imolope_low,T24,Family_Veillonellaceae,Abundance,3,0,0
Lop_high,T24,Family_Veillonellaceae,Abundance,3,0,0
Lop_low,T24,Family_Veillonellaceae,Abundance,3,0,0
Saline,T24,Family_Veillonellaceae,Abundance,3,0,0
DMSO,T48,Family_Veillonellaceae,Abundance,3,0,0
Imolope_high,T48,Family_Veillonellaceae,Abundance,3,0,0
Imolope_low,T48,Family_Veillonellaceae,Abundance,3,0,0
Lop_high,T48,Family_Veillonellaceae,Abundance,3,0,0
Lop_low,T48,Family_Veillonellaceae,Abundance,3,0,0
Saline,T48,Family_Veillonellaceae,Abundance,3,0,0
DMSO,T72,Family_Veillonellaceae,Abundance,3,0,0
Imolope_high,T72,Family_Veillonellaceae,Abundance,3,0,0
Imolope_low,T72,Family_Veillonellaceae,Abundance,3,0,0
Lop_high,T72,Family_Veillonellaceae,Abundance,3,0,0
Lop_low,T72,Family_Veillonellaceae,Abundance,3,0,0
Saline,T72,Family_Veillonellaceae,Abundance,3,0,0
DMSO,T0,Flavobacterium,Abundance,3,0,0
Imolope_high,T0,Flavobacterium,Abundance,3,0,0
Imolope_low,T0,Flavobacterium,Abundance,3,0.009,0.015
Lop_high,T0,Flavobacterium,Abundance,3,0,0
Lop_low,T0,Flavobacterium,Abundance,3,0,0
Saline,T0,Flavobacterium,Abundance,3,0,0
DMSO,T24,Flavobacterium,Abundance,3,0,0
Imolope_high,T24,Flavobacterium,Abundance,3,0,0
Imolope_low,T24,Flavobacterium,Abundance,3,0,0
Lop_high,T24,Flavobacterium,Abundance,3,0,0
Lop_low,T24,Flavobacterium,Abundance,3,0,0
Saline,T24,Flavobacterium,Abundance,3,0,0
DMSO,T48,Flavobacterium,Abundance,3,0,0
Imolope_high,T48,Flavobacterium,Abundance,3,0,0
Imolope_low,T48,Flavobacterium,Abundance,3,0,0
Lop_high,T48,Flavobacterium,Abundance,3,0,0
Lop_low,T48,Flavobacterium,Abundance,3,0,0
Saline,T48,Flavobacterium,Abundance,3,0,0
DMSO,T72,Flavobacterium,Abundance,3,0,0
Imolope_high,T72,Flavobacterium,Abundance,3,0,0
Imolope_low,T72,Flavobacterium,Abundance,3,0,0
Lop_high,T72,Flavobacterium,Abundance,3,0,0
Lop_low,T72,Flavobacterium,Abundance,3,0,0
Saline,T72,Flavobacterium,Abundance,3,0,0
DMSO,T0,Flavonifractor,Abundance,3,0.023,0.006
Imolope_high,T0,Flavonifractor,Abundance,3,0.027,0.016
Imolope_low,T0,Flavonifractor,Abundance,3,0.021,0.015
Lop_high,T0,Flavonifractor,Abundance,3,0.018,0.007
Lop_low,T0,Flavonifractor,Abundance,3,0.017,0.013
Saline,T0,Flavonifractor,Abundance,3,0.013,0.01
DMSO,T24,Flavonifractor,Abundance,3,0,0
Imolope_high,T24,Flavonifractor,Abundance,3,0,0
Imolope_low,T24,Flavonifractor,Abundance,3,0,0
Lop_high,T24,Flavonifractor,Abundance,3,0,0
Lop_low,T24,Flavonifractor,Abundance,3,0,0
Saline,T24,Flavonifractor,Abundance,3,0,0
DMSO,T48,Flavonifractor,Abundance,3,0,0
Imolope_high,T48,Flavonifractor,Abundance,3,0,0
Imolope_low,T48,Flavonifractor,Abundance,3,0,0
Lop_high,T48,Flavonifractor,Abundance,3,0,0.001
Lop_low,T48,Flavonifractor,Abundance,3,0,0
Saline,T48,Flavonifractor,Abundance,3,0,0
DMSO,T72,Flavonifractor,Abundance,3,0,0
Imolope_high,T72,Flavonifractor,Abundance,3,0,0
Imolope_low,T72,Flavonifractor,Abundance,3,0,0
Lop_high,T72,Flavonifractor,Abundance,3,0,0
Lop_low,T72,Flavonifractor,Abundance,3,0,0
Saline,T72,Flavonifractor,Abundance,3,0,0
DMSO,T0,Gordonibacter,Abundance,3,0.03,0.029
Imolope_high,T0,Gordonibacter,Abundance,3,0.027,0.025
Imolope_low,T0,Gordonibacter,Abundance,3,0.07,0.033
Lop_high,T0,Gordonibacter,Abundance,3,0.019,0.008
Lop_low,T0,Gordonibacter,Abundance,3,0.054,0.047
Saline,T0,Gordonibacter,Abundance,3,0.037,0.02
DMSO,T24,Gordonibacter,Abundance,3,0,0
Imolope_high,T24,Gordonibacter,Abundance,3,0,0
Imolope_low,T24,Gordonibacter,Abundance,3,0,0
Lop_high,T24,Gordonibacter,Abundance,3,0,0
Lop_low,T24,Gordonibacter,Abundance,3,0,0
Saline,T24,Gordonibacter,Abundance,3,0,0
DMSO,T48,Gordonibacter,Abundance,3,0,0.001
Imolope_high,T48,Gordonibacter,Abundance,3,0,0
Imolope_low,T48,Gordonibacter,Abundance,3,0,0
Lop_high,T48,Gordonibacter,Abundance,3,0,0
Lop_low,T48,Gordonibacter,Abundance,3,0,0
Saline,T48,Gordonibacter,Abundance,3,0,0
DMSO,T72,Gordonibacter,Abundance,3,0,0
Imolope_high,T72,Gordonibacter,Abundance,3,0,0
Imolope_low,T72,Gordonibacter,Abundance,3,0,0.001
Lop_high,T72,Gordonibacter,Abundance,3,0,0
Lop_low,T72,Gordonibacter,Abundance,3,0,0
Saline,T72,Gordonibacter,Abundance,3,0,0
DMSO,T0,Granulicatella,Abundance,3,0,0
Imolope_high,T0,Granulicatella,Abundance,3,0,0
Imolope_low,T0,Granulicatella,Abundance,3,0,0
Lop_high,T0,Granulicatella,Abundance,3,0,0
Lop_low,T0,Granulicatella,Abundance,3,0,0
Saline,T0,Granulicatella,Abundance,3,0.001,0.002
DMSO,T24,Granulicatella,Abundance,3,0,0
Imolope_high,T24,Granulicatella,Abundance,3,0,0
Imolope_low,T24,Granulicatella,Abundance,3,0,0
Lop_high,T24,Granulicatella,Abundance,3,0,0
Lop_low,T24,Granulicatella,Abundance,3,0,0
Saline,T24,Granulicatella,Abundance,3,0,0
DMSO,T48,Granulicatella,Abundance,3,0,0
Imolope_high,T48,Granulicatella,Abundance,3,0,0
Imolope_low,T48,Granulicatella,Abundance,3,0,0
Lop_high,T48,Granulicatella,Abundance,3,0,0
Lop_low,T48,Granulicatella,Abundance,3,0,0
Saline,T48,Granulicatella,Abundance,3,0,0
DMSO,T72,Granulicatella,Abundance,3,0,0
Imolope_high,T72,Granulicatella,Abundance,3,0,0
Imolope_low,T72,Granulicatella,Abundance,3,0,0
Lop_high,T72,Granulicatella,Abundance,3,0,0
Lop_low,T72,Granulicatella,Abundance,3,0,0
Saline,T72,Granulicatella,Abundance,3,0,0
DMSO,T0,Herbinix,Abundance,3,0.03,0.016
Imolope_high,T0,Herbinix,Abundance,3,0.029,0.016
Imolope_low,T0,Herbinix,Abundance,3,0.028,0.003
Lop_high,T0,Herbinix,Abundance,3,0.018,0.003
Lop_low,T0,Herbinix,Abundance,3,0.045,0.02
Saline,T0,Herbinix,Abundance,3,0.021,0.015
DMSO,T24,Herbinix,Abundance,3,0,0
Imolope_high,T24,Herbinix,Abundance,3,0,0
Imolope_low,T24,Herbinix,Abundance,3,0,0
Lop_high,T24,Herbinix,Abundance,3,0,0
Lop_low,T24,Herbinix,Abundance,3,0,0
Saline,T24,Herbinix,Abundance,3,0,0
DMSO,T48,Herbinix,Abundance,3,0,0
Imolope_high,T48,Herbinix,Abundance,3,0,0
Imolope_low,T48,Herbinix,Abundance,3,0,0
Lop_high,T48,Herbinix,Abundance,3,0,0
Lop_low,T48,Herbinix,Abundance,3,0,0
Saline,T48,Herbinix,Abundance,3,0,0
DMSO,T72,Herbinix,Abundance,3,0,0
Imolope_high,T72,Herbinix,Abundance,3,0,0
Imolope_low,T72,Herbinix,Abundance,3,0,0
Lop_high,T72,Herbinix,Abundance,3,0,0
Lop_low,T72,Herbinix,Abundance,3,0,0
Saline,T72,Herbinix,Abundance,3,0,0
DMSO,T0,Holdemanella,Abundance,3,0,0
Imolope_high,T0,Holdemanella,Abundance,3,0,0
Imolope_low,T0,Holdemanella,Abundance,3,0,0
Lop_high,T0,Holdemanella,Abundance,3,0.006,0.011
Lop_low,T0,Holdemanella,Abundance,3,0,0
Saline,T0,Holdemanella,Abundance,3,0,0
DMSO,T24,Holdemanella,Abundance,3,0,0
Imolope_high,T24,Holdemanella,Abundance,3,0,0
Imolope_low,T24,Holdemanella,Abundance,3,0,0
Lop_high,T24,Holdemanella,Abundance,3,0,0
Lop_low,T24,Holdemanella,Abundance,3,0,0
Saline,T24,Holdemanella,Abundance,3,0,0
DMSO,T48,Holdemanella,Abundance,3,0,0
Imolope_high,T48,Holdemanella,Abundance,3,0,0
Imolope_low,T48,Holdemanella,Abundance,3,0,0
Lop_high,T48,Holdemanella,Abundance,3,0,0
Lop_low,T48,Holdemanella,Abundance,3,0,0
Saline,T48,Holdemanella,Abundance,3,0,0
DMSO,T72,Holdemanella,Abundance,3,0,0
Imolope_high,T72,Holdemanella,Abundance,3,0,0
Imolope_low,T72,Holdemanella,Abundance,3,0,0
Lop_high,T72,Holdemanella,Abundance,3,0,0
Lop_low,T72,Holdemanella,Abundance,3,0,0.001
Saline,T72,Holdemanella,Abundance,3,0,0
DMSO,T0,Holdemania,Abundance,3,0.36,0.098
Imolope_high,T0,Holdemania,Abundance,3,0.305,0.084
Imolope_low,T0,Holdemania,Abundance,3,0.196,0.015
Lop_high,T0,Holdemania,Abundance,3,0.217,0.024
Lop_low,T0,Holdemania,Abundance,3,0.235,0.041
Saline,T0,Holdemania,Abundance,3,0.183,0.035
