Treatment,Time_point,Genus,variable,n,mean,sd
Lop_high,T72,Akkermansia,Abundance,3,0,0
Lop_low,T72,Akkermansia,Abundance,3,0.001,0.001
Saline,T72,Akkermansia,Abundance,3,0.002,0.002
DMSO,T0,Alistipes,Abundance,3,0.033,0.014
Imolope_high,T0,Alistipes,Abundance,3,0.022,0.009
Imolope_low,T0,Alistipes,Abundance,3,0.049,0.01
Lop_high,T0,Alistipes,Abundance,3,0.035,0.029
Lop_low,T0,Alistipes,Abundance,3,0.036,0.005
Saline,T0,Alistipes,Abundance,3,0.037,0.019
DMSO,T24,Alistipes,Abundance,3,0.01,0.002
Imolope_high,T24,Alistipes,Abundance,3,0.015,0.003
Imolope_low,T24,Alistipes,Abundance,3,0.013,0.004
Lop_high,T24,Alistipes,Abundance,3,0.016,0.008
Lop_low,T24,Alistipes,Abundance,3,0.013,0.004
Saline,T24,Alistipes,Abundance,3,0.02,0.007
DMSO,T48,Alistipes,Abundance,3,0.027,0.006
Imolope_high,T48,Alistipes,Abundance,3,0.028,0.006
Imolope_low,T48,Alistipes,Abundance,3,0.031,0.004
Lop_high,T48,Alistipes,Abundance,3,0.063,0.022
Lop_low,T48,Alistipes,Abundance,3,0.039,0.023
Saline,T48,Alistipes,Abundance,3,0.071,0.023
DMSO,T72,Alistipes,Abundance,3,0.119,0.016
Imolope_high,T72,Alistipes,Abundance,3,0.117,0.017
Imolope_low,T72,Alistipes,Abundance,3,0.19,0.037
Lop_high,T72,Alistipes,Abundance,3,0.34,0.105
Lop_low,T72,Alistipes,Abundance,3,0.152,0.13
Saline,T72,Alistipes,Abundance,3,0.389,0.066
DMSO,T0,Amedibacillus,Abundance,3,0.081,0.022
Imolope_high,T0,Amedibacillus,Abundance,3,0.118,0.033
Imolope_low,T0,Amedibacillus,Abundance,3,0.054,0.026
Lop_high,T0,Amedibacillus,Abundance,3,0.107,0.041
Lop_low,T0,Amedibacillus,Abundance,3,0.08,0.026
Saline,T0,Amedibacillus,Abundance,3,0.044,0.029
DMSO,T24,Amedibacillus,Abundance,3,0,0
Imolope_high,T24,Amedibacillus,Abundance,3,0,0
Imolope_low,T24,Amedibacillus,Abundance,3,0.001,0.001
Lop_high,T24,Amedibacillus,Abundance,3,0,0
Lop_low,T24,Amedibacillus,Abundance,3,0,0.001
Saline,T24,Amedibacillus,Abundance,3,0,0
DMSO,T48,Amedibacillus,Abundance,3,0,0.001
Imolope_high,T48,Amedibacillus,Abundance,3,0,0.001
Imolope_low,T48,Amedibacillus,Abundance,3,0,0
Lop_high,T48,Amedibacillus,Abundance,3,0,0.001
Lop_low,T48,Amedibacillus,Abundance,3,0.001,0.001
