Day,Group,Genus,variable,n,mean,sd
D05,High,Family_Sphingomonadaceae,Abundance,6,0.001,0.003
D05,Low,Family_Sphingomonadaceae,Abundance,6,0.001,0.001
D05,Medium,Family_Sphingomonadaceae,Abundance,6,0,0
D09,Control,Family_Sphingomonadaceae,Abundance,6,0,0.001
D09,High,Family_Sphingomonadaceae,Abundance,6,0,0
D09,Low,Family_Sphingomonadaceae,Abundance,6,0,0
D09,Medium,Family_Sphingomonadaceae,Abundance,6,0.003,0.007
D02,Control,Flavonifractor,Abundance,6,0.057,0.022
D02,High,Flavonifractor,Abundance,6,0.047,0.036
D02,Low,Flavonifractor,Abundance,6,0.052,0.02
D02,Medium,Flavonifractor,Abundance,6,0.068,0.021
D05,Control,Flavonifractor,Abundance,6,0.066,0.032
D05,High,Flavonifractor,Abundance,6,0.031,0.019
D05,Low,Flavonifractor,Abundance,6,0.046,0.031
D05,Medium,Flavonifractor,Abundance,6,0.075,0.062
D09,Control,Flavonifractor,Abundance,6,0.07,0.032
D09,High,Flavonifractor,Abundance,6,0.026,0.009
D09,Low,Flavonifractor,Abundance,6,0.029,0.011
D09,Medium,Flavonifractor,Abundance,6,0.031,0.017
D02,Control,Herbinix,Abundance,6,0.067,0.154
D02,High,Herbinix,Abundance,6,0.035,0.07
D02,Low,Herbinix,Abundance,6,0.038,0.076
D02,Medium,Herbinix,Abundance,6,0.058,0.13
D05,Control,Herbinix,Abundance,6,0.052,0.075
D05,High,Herbinix,Abundance,6,0.006,0.01
D05,Low,Herbinix,Abundance,6,0.092,0.201
D05,Medium,Herbinix,Abundance,6,0.011,0.012
D09,Control,Herbinix,Abundance,6,0.027,0.064
D09,High,Herbinix,Abundance,6,0.005,0.006
D09,Low,Herbinix,Abundance,6,0.065,0.141
D09,Medium,Herbinix,Abundance,6,0.004,0.003
D02,Control,Holdemania,Abundance,6,0.064,0.067
D02,High,Holdemania,Abundance,6,0.042,0.048
D02,Low,Holdemania,Abundance,6,0.056,0.041
D02,Medium,Holdemania,Abundance,6,0.029,0.027
D05,Control,Holdemania,Abundance,6,0.059,0.039
D05,High,Holdemania,Abundance,6,0.041,0.027
D05,Low,Holdemania,Abundance,6,0.087,0.051
D05,Medium,Holdemania,Abundance,6,0.041,0.039
D09,Control,Holdemania,Abundance,6,0.031,0.012
D09,High,Holdemania,Abundance,6,0.09,0.097
D09,Low,Holdemania,Abundance,6,0.117,0.06
D09,Medium,Holdemania,Abundance,6,0.115,0.059
D02,Control,Ihubacter,Abundance,6,0.1,0.078
D02,High,Ihubacter,Abundance,6,0.126,0.079
D02,Low,Ihubacter,Abundance,6,0.07,0.055
D02,Medium,Ihubacter,Abundance,6,0.075,0.046
D05,Control,Ihubacter,Abundance,6,0.068,0.058
D05,High,Ihubacter,Abundance,6,0.11,0.048
D05,Low,Ihubacter,Abundance,6,0.093,0.048
D05,Medium,Ihubacter,Abundance,6,0.056,0.029
D09,Control,Ihubacter,Abundance,6,0.102,0.075
D09,High,Ihubacter,Abundance,6,0.13,0.072
D09,Low,Ihubacter,Abundance,6,0.132,0.074
D09,Medium,Ihubacter,Abundance,6,0.133,0.064
D02,Control,Intestinimonas,Abundance,6,2.142,0.756
D02,High,Intestinimonas,Abundance,6,2.342,1.593
D02,Low,Intestinimonas,Abundance,6,1.935,0.672
D02,Medium,Intestinimonas,Abundance,6,1.562,0.847
D05,Control,Intestinimonas,Abundance,6,2.251,0.749
D05,High,Intestinimonas,Abundance,6,2.008,1.442
D05,Low,Intestinimonas,Abundance,6,1.635,0.681
D05,Medium,Intestinimonas,Abundance,6,1.9,1.322
D09,Control,Intestinimonas,Abundance,6,2.337,2.799
D09,High,Intestinimonas,Abundance,6,1.295,0.832
D09,Low,Intestinimonas,Abundance,6,1.409,0.718
D09,Medium,Intestinimonas,Abundance,6,1.202,0.835
D02,Control,Lachnospira,Abundance,6,0.019,0.018
D02,High,Lachnospira,Abundance,6,0.05,0.076
D02,Low,Lachnospira,Abundance,6,0.043,0.055
D02,Medium,Lachnospira,Abundance,6,0.031,0.025
D05,Control,Lachnospira,Abundance,6,0.024,0.044
D05,High,Lachnospira,Abundance,6,0.021,0.024
D05,Low,Lachnospira,Abundance,6,0.044,0.045
D05,Medium,Lachnospira,Abundance,6,0.029,0.046
D09,Control,Lachnospira,Abundance,6,0.029,0.03
D09,High,Lachnospira,Abundance,6,0.021,0.019
D09,Low,Lachnospira,Abundance,6,0.051,0.061
D09,Medium,Lachnospira,Abundance,6,0.016,0.019
D02,Control,Lacrimispora,Abundance,6,0.108,0.144
D02,High,Lacrimispora,Abundance,6,0.141,0.196
D02,Low,Lacrimispora,Abundance,6,0.422,0.546
D02,Medium,Lacrimispora,Abundance,6,0.176,0.223
D05,Control,Lacrimispora,Abundance,6,0.289,0.43
D05,High,Lacrimispora,Abundance,6,0.041,0.074
D05,Low,Lacrimispora,Abundance,6,0.2,0.277
D05,Medium,Lacrimispora,Abundance,6,0.131,0.15
D09,Control,Lacrimispora,Abundance,6,0.224,0.222
D09,High,Lacrimispora,Abundance,6,0.024,0.038
D09,Low,Lacrimispora,Abundance,6,0.184,0.177
D09,Medium,Lacrimispora,Abundance,6,0.109,0.08
D02,Control,Lactobacillus,Abundance,6,0.62,0.557
D02,High,Lactobacillus,Abundance,6,0.509,0.427
D02,Low,Lactobacillus,Abundance,6,3.154,6.528
D02,Medium,Lactobacillus,Abundance,6,1.391,1.745
D05,Control,Lactobacillus,Abundance,6,0.478,0.481
D05,High,Lactobacillus,Abundance,6,0.078,0.137
D05,Low,Lactobacillus,Abundance,6,3.147,3.363
D05,Medium,Lactobacillus,Abundance,6,2.187,3.706
D09,Control,Lactobacillus,Abundance,6,3.199,5.31
D09,High,Lactobacillus,Abundance,6,0.419,0.56
D09,Low,Lactobacillus,Abundance,6,1.282,2.828
D09,Medium,Lactobacillus,Abundance,6,1.304,1.253
D02,Control,Lawsonibacter,Abundance,6,0.031,0.024
D02,High,Lawsonibacter,Abundance,6,0.168,0.283
D02,Low,Lawsonibacter,Abundance,6,0.038,0.029
D02,Medium,Lawsonibacter,Abundance,6,0.048,0.041
D05,Control,Lawsonibacter,Abundance,6,0.042,0.042
D05,High,Lawsonibacter,Abundance,6,0.071,0.112
D05,Low,Lawsonibacter,Abundance,6,0.025,0.027
D05,Medium,Lawsonibacter,Abundance,6,0.059,0.049
D09,Control,Lawsonibacter,Abundance,6,0.021,0.02
D09,High,Lawsonibacter,Abundance,6,0.073,0.09
D09,Low,Lawsonibacter,Abundance,6,0.035,0.033
D09,Medium,Lawsonibacter,Abundance,6,0.033,0.038
D02,Control,Ligilactobacillus,Abundance,6,0.001,0.002
D02,High,Ligilactobacillus,Abundance,6,0.001,0.001
D02,Low,Ligilactobacillus,Abundance,6,0.003,0.004
D02,Medium,Ligilactobacillus,Abundance,6,0.017,0.029
D05,Control,Ligilactobacillus,Abundance,6,0,0.001
D05,High,Ligilactobacillus,Abundance,6,0.002,0.002
D05,Low,Ligilactobacillus,Abundance,6,0.004,0.006
D05,Medium,Ligilactobacillus,Abundance,6,0.005,0.005
D09,Control,Ligilactobacillus,Abundance,6,0.041,0.092
D09,High,Ligilactobacillus,Abundance,6,0.006,0.005
D09,Low,Ligilactobacillus,Abundance,6,0.058,0.063
D09,Medium,Ligilactobacillus,Abundance,6,0.036,0.044
D02,Control,Limosilactobacillus,Abundance,6,1.513,1.563
D02,High,Limosilactobacillus,Abundance,6,0.926,0.934
D02,Low,Limosilactobacillus,Abundance,6,2.005,3.696
D02,Medium,Limosilactobacillus,Abundance,6,2.658,2.946
D05,Control,Limosilactobacillus,Abundance,6,0.853,1.286
D05,High,Limosilactobacillus,Abundance,6,0.14,0.18
D05,Low,Limosilactobacillus,Abundance,6,3.223,3.985
D05,Medium,Limosilactobacillus,Abundance,6,1.975,1.494
D09,Control,Limosilactobacillus,Abundance,6,4.181,5.691
D09,High,Limosilactobacillus,Abundance,6,0.655,0.849
D09,Low,Limosilactobacillus,Abundance,6,2.542,5.088
D09,Medium,Limosilactobacillus,Abundance,6,1.182,1.293
D02,Control,Listeria,Abundance,6,0,0
D02,High,Listeria,Abundance,6,0,0.001
D02,Low,Listeria,Abundance,6,0,0
D02,Medium,Listeria,Abundance,6,0.001,0.003
D05,Control,Listeria,Abundance,6,0.001,0.001
D05,High,Listeria,Abundance,6,0,0.001
D05,Low,Listeria,Abundance,6,0.001,0.002
D05,Medium,Listeria,Abundance,6,0,0.001
D09,Control,Listeria,Abundance,6,0,0
D09,High,Listeria,Abundance,6,0,0
D09,Low,Listeria,Abundance,6,0,0.001
D09,Medium,Listeria,Abundance,6,0,0
D02,Control,Longibaculum,Abundance,6,0.028,0.034
D02,High,Longibaculum,Abundance,6,0.052,0.097
D02,Low,Longibaculum,Abundance,6,0.044,0.061
D02,Medium,Longibaculum,Abundance,6,0.068,0.118
D05,Control,Longibaculum,Abundance,6,0.045,0.062
D05,High,Longibaculum,Abundance,6,0.082,0.125
D05,Low,Longibaculum,Abundance,6,0.086,0.081
D05,Medium,Longibaculum,Abundance,6,0.028,0.031
D09,Control,Longibaculum,Abundance,6,0.066,0.107
D09,High,Longibaculum,Abundance,6,0.303,0.244
D09,Low,Longibaculum,Abundance,6,0.339,0.348
D09,Medium,Longibaculum,Abundance,6,0.204,0.246
D02,Control,Mailhella,Abundance,6,0.222,0.2
D02,High,Mailhella,Abundance,6,0.24,0.342
D02,Low,Mailhella,Abundance,6,0.136,0.104
D02,Medium,Mailhella,Abundance,6,0.303,0.316
D05,Control,Mailhella,Abundance,6,0.118,0.108
D05,High,Mailhella,Abundance,6,0.118,0.073
D05,Low,Mailhella,Abundance,6,0.126,0.08
D05,Medium,Mailhella,Abundance,6,0.258,0.212
D09,Control,Mailhella,Abundance,6,0.13,0.143
D09,High,Mailhella,Abundance,6,0.17,0.184
D09,Low,Mailhella,Abundance,6,0.218,0.243
D09,Medium,Mailhella,Abundance,6,0.322,0.275
D02,Control,Marvinbryantia,Abundance,6,0.087,0.03
D02,High,Marvinbryantia,Abundance,6,0.093,0.132
D02,Low,Marvinbryantia,Abundance,6,0.115,0.035
D02,Medium,Marvinbryantia,Abundance,6,0.083,0.072
D05,Control,Marvinbryantia,Abundance,6,0.091,0.093
D05,High,Marvinbryantia,Abundance,6,0.055,0.057
D05,Low,Marvinbryantia,Abundance,6,0.087,0.057
D05,Medium,Marvinbryantia,Abundance,6,0.086,0.065
D09,Control,Marvinbryantia,Abundance,6,0.047,0.031
D09,High,Marvinbryantia,Abundance,6,0.066,0.109
D09,Low,Marvinbryantia,Abundance,6,0.048,0.031
D09,Medium,Marvinbryantia,Abundance,6,0.021,0.016
D02,Control,Massiliimalia,Abundance,6,0.024,0.014
D02,High,Massiliimalia,Abundance,6,0.029,0.014
D02,Low,Massiliimalia,Abundance,6,0.02,0.01
D02,Medium,Massiliimalia,Abundance,6,0.019,0.014
D05,Control,Massiliimalia,Abundance,6,0.029,0.023
D05,High,Massiliimalia,Abundance,6,0.019,0.016
D05,Low,Massiliimalia,Abundance,6,0.022,0.011
D05,Medium,Massiliimalia,Abundance,6,0.028,0.02
D09,Control,Massiliimalia,Abundance,6,0.022,0.014
D09,High,Massiliimalia,Abundance,6,0.021,0.019
D09,Low,Massiliimalia,Abundance,6,0.03,0.015
D09,Medium,Massiliimalia,Abundance,6,0.013,0.008
D02,Control,Monoglobus,Abundance,6,0.025,0.019
D02,High,Monoglobus,Abundance,6,0.019,0.019
D02,Low,Monoglobus,Abundance,6,0.009,0.01
D02,Medium,Monoglobus,Abundance,6,0.012,0.007
D05,Control,Monoglobus,Abundance,6,0.024,0.024
D05,High,Monoglobus,Abundance,6,0.012,0.011
D05,Low,Monoglobus,Abundance,6,0.009,0.01
D05,Medium,Monoglobus,Abundance,6,0.01,0.006
D09,Control,Monoglobus,Abundance,6,0.015,0.008
D09,High,Monoglobus,Abundance,6,0.008,0.01
D09,Low,Monoglobus,Abundance,6,0.004,0.007
D09,Medium,Monoglobus,Abundance,6,0.005,0.004
D02,Control,Mucispirillum,Abundance,6,0.003,0.004
D02,High,Mucispirillum,Abundance,6,0.076,0.091
D02,Low,Mucispirillum,Abundance,6,0.022,0.049
D02,Medium,Mucispirillum,Abundance,6,0.079,0.153
D05,Control,Mucispirillum,Abundance,6,0.023,0.042
D05,High,Mucispirillum,Abundance,6,0.041,0.074
D05,Low,Mucispirillum,Abundance,6,0.007,0.006
D05,Medium,Mucispirillum,Abundance,6,0.014,0.016
D09,Control,Mucispirillum,Abundance,6,0.002,0.005
D09,High,Mucispirillum,Abundance,6,0.022,0.025
D09,Low,Mucispirillum,Abundance,6,0.021,0.041
D09,Medium,Mucispirillum,Abundance,6,0.011,0.019
D02,Control,Neglecta,Abundance,6,0.21,0.129
D02,High,Neglecta,Abundance,6,0.27,0.139
D02,Low,Neglecta,Abundance,6,0.199,0.066
D02,Medium,Neglecta,Abundance,6,0.208,0.138
D05,Control,Neglecta,Abundance,6,0.138,0.05
D05,High,Neglecta,Abundance,6,0.275,0.178
D05,Low,Neglecta,Abundance,6,0.178,0.094
D05,Medium,Neglecta,Abundance,6,0.261,0.099
D09,Control,Neglecta,Abundance,6,0.21,0.314
D09,High,Neglecta,Abundance,6,0.199,0.122
D09,Low,Neglecta,Abundance,6,0.165,0.083
D09,Medium,Neglecta,Abundance,6,0.167,0.1
D02,Control,Odoribacter,Abundance,6,0.15,0.081
D02,High,Odoribacter,Abundance,6,0.203,0.173
D02,Low,Odoribacter,Abundance,6,0.155,0.105
D02,Medium,Odoribacter,Abundance,6,0.175,0.086
D05,Control,Odoribacter,Abundance,6,0.116,0.085
D05,High,Odoribacter,Abundance,6,0.097,0.052
D05,Low,Odoribacter,Abundance,6,0.086,0.052
D05,Medium,Odoribacter,Abundance,6,0.195,0.18
D09,Control,Odoribacter,Abundance,6,0.146,0.249
D09,High,Odoribacter,Abundance,6,0.047,0.033
D09,Low,Odoribacter,Abundance,6,0.066,0.041
D09,Medium,Odoribacter,Abundance,6,0.028,0.022
D02,Control,Olsenella,Abundance,6,0,0
D02,High,Olsenella,Abundance,6,0.032,0.077
D02,Low,Olsenella,Abundance,6,0.015,0.028
D02,Medium,Olsenella,Abundance,6,0.017,0.042
D05,Control,Olsenella,Abundance,6,0,0
D05,High,Olsenella,Abundance,6,0.001,0.002
D05,Low,Olsenella,Abundance,6,0.01,0.022
D05,Medium,Olsenella,Abundance,6,0.075,0.183
D09,Control,Olsenella,Abundance,6,0,0
D09,High,Olsenella,Abundance,6,0.006,0.016
D09,Low,Olsenella,Abundance,6,0.044,0.083
D09,Medium,Olsenella,Abundance,6,0.004,0.007
D02,Control,Order_Bacteroidales,Abundance,6,5.462,4.736
D02,High,Order_Bacteroidales,Abundance,6,3.927,2.677
D02,Low,Order_Bacteroidales,Abundance,6,4.887,3.268
D02,Medium,Order_Bacteroidales,Abundance,6,8.328,9.462
D05,Control,Order_Bacteroidales,Abundance,6,3.395,2.014
D05,High,Order_Bacteroidales,Abundance,6,4.309,2.38
D05,Low,Order_Bacteroidales,Abundance,6,5.372,3.56
D05,Medium,Order_Bacteroidales,Abundance,6,5.696,4.175
D09,Control,Order_Bacteroidales,Abundance,6,4.769,3.19
D09,High,Order_Bacteroidales,Abundance,6,4.482,4.873
D09,Low,Order_Bacteroidales,Abundance,6,4.15,3.605
D09,Medium,Order_Bacteroidales,Abundance,6,4.623,2.431
D02,Control,Order_Clostridiales,Abundance,6,2.059,0.554
D02,High,Order_Clostridiales,Abundance,6,3.279,3.62
D02,Low,Order_Clostridiales,Abundance,6,1.499,0.636
D02,Medium,Order_Clostridiales,Abundance,6,2.402,0.642
D05,Control,Order_Clostridiales,Abundance,6,1.853,0.871
D05,High,Order_Clostridiales,Abundance,6,3.112,2.116
D05,Low,Order_Clostridiales,Abundance,6,2.664,2.414
D05,Medium,Order_Clostridiales,Abundance,6,3.192,2.621
D09,Control,Order_Clostridiales,Abundance,6,1.404,0.737
D09,High,Order_Clostridiales,Abundance,6,1.221,1.065
D09,Low,Order_Clostridiales,Abundance,6,1.538,1.431
D09,Medium,Order_Clostridiales,Abundance,6,2.605,1.148
D02,Control,Order_Rhodospirillales,Abundance,6,0.007,0.01
D02,High,Order_Rhodospirillales,Abundance,6,0.015,0.017
D02,Low,Order_Rhodospirillales,Abundance,6,0.012,0.01
D02,Medium,Order_Rhodospirillales,Abundance,6,0.025,0.036
D05,Control,Order_Rhodospirillales,Abundance,6,0.005,0.008
D05,High,Order_Rhodospirillales,Abundance,6,0.038,0.024
D05,Low,Order_Rhodospirillales,Abundance,6,0.037,0.043
D05,Medium,Order_Rhodospirillales,Abundance,6,0.048,0.07
D09,Control,Order_Rhodospirillales,Abundance,6,0.004,0.008
D09,High,Order_Rhodospirillales,Abundance,6,0.006,0.008
D09,Low,Order_Rhodospirillales,Abundance,6,0.005,0.007
D09,Medium,Order_Rhodospirillales,Abundance,6,0.01,0.007
D02,Control,Oribacterium,Abundance,6,0.019,0.016
D02,High,Oribacterium,Abundance,6,0.004,0.008
D02,Low,Oribacterium,Abundance,6,0.022,0.029
D02,Medium,Oribacterium,Abundance,6,0.036,0.052
D05,Control,Oribacterium,Abundance,6,0.013,0.018
D05,High,Oribacterium,Abundance,6,0,0
D05,Low,Oribacterium,Abundance,6,0.009,0.011
D05,Medium,Oribacterium,Abundance,6,0.024,0.053
D09,Control,Oribacterium,Abundance,6,0.004,0.009
D09,High,Oribacterium,Abundance,6,0.001,0.003
D09,Low,Oribacterium,Abundance,6,0.028,0.048
D09,Medium,Oribacterium,Abundance,6,0.007,0.013
D02,Control,Oscillibacter,Abundance,6,1.797,1.106
D02,High,Oscillibacter,Abundance,6,2.11,1.104
D02,Low,Oscillibacter,Abundance,6,1.85,0.85
D02,Medium,Oscillibacter,Abundance,6,1.767,0.949
D05,Control,Oscillibacter,Abundance,6,2.473,0.774
D05,High,Oscillibacter,Abundance,6,2.609,2.27
D05,Low,Oscillibacter,Abundance,6,1.697,0.681
D05,Medium,Oscillibacter,Abundance,6,2.102,1.34
D09,Control,Oscillibacter,Abundance,6,1.823,1.33
D09,High,Oscillibacter,Abundance,6,1.462,1.323
D09,Low,Oscillibacter,Abundance,6,1.198,0.417
D09,Medium,Oscillibacter,Abundance,6,1.099,0.619
D02,Control,Parabacteroides,Abundance,6,0.033,0.022
D02,High,Parabacteroides,Abundance,6,0.119,0.179
D02,Low,Parabacteroides,Abundance,6,0.039,0.037
D02,Medium,Parabacteroides,Abundance,6,0.054,0.029
D05,Control,Parabacteroides,Abundance,6,0.018,0.014
D05,High,Parabacteroides,Abundance,6,0.247,0.28
D05,Low,Parabacteroides,Abundance,6,0.05,0.021
D05,Medium,Parabacteroides,Abundance,6,0.107,0.082
D09,Control,Parabacteroides,Abundance,6,0.063,0.078
D09,High,Parabacteroides,Abundance,6,0.203,0.125
D09,Low,Parabacteroides,Abundance,6,0.202,0.123
D09,Medium,Parabacteroides,Abundance,6,0.337,0.309
D02,Control,Paramuribaculum,Abundance,6,4.482,2.688
D02,High,Paramuribaculum,Abundance,6,4.411,1.889
D02,Low,Paramuribaculum,Abundance,6,3.852,2.41
D02,Medium,Paramuribaculum,Abundance,6,5.005,2.313
D05,Control,Paramuribaculum,Abundance,6,2.807,1.039
D05,High,Paramuribaculum,Abundance,6,5.694,2.748
D05,Low,Paramuribaculum,Abundance,6,4.371,2.407
D05,Medium,Paramuribaculum,Abundance,6,4.843,3.389
D09,Control,Paramuribaculum,Abundance,6,4.045,2.361
D09,High,Paramuribaculum,Abundance,6,6.419,5.531
D09,Low,Paramuribaculum,Abundance,6,5.282,6.241
D09,Medium,Paramuribaculum,Abundance,6,4.642,2.049
D02,Control,Peptococcus,Abundance,6,0.088,0.064
D02,High,Peptococcus,Abundance,6,0.081,0.153
D02,Low,Peptococcus,Abundance,6,0.007,0.011
D02,Medium,Peptococcus,Abundance,6,0.121,0.156
D05,Control,Peptococcus,Abundance,6,0.105,0.115
D05,High,Peptococcus,Abundance,6,0.045,0.08
D05,Low,Peptococcus,Abundance,6,0.033,0.082
D05,Medium,Peptococcus,Abundance,6,0.077,0.112
D09,Control,Peptococcus,Abundance,6,0.045,0.054
D09,High,Peptococcus,Abundance,6,0.099,0.163
D09,Low,Peptococcus,Abundance,6,0.016,0.039
D09,Medium,Peptococcus,Abundance,6,0.061,0.062
D02,Control,Phocaeicola,Abundance,6,0.211,0.158
D02,High,Phocaeicola,Abundance,6,0.316,0.263
D02,Low,Phocaeicola,Abundance,6,0.075,0.081
D02,Medium,Phocaeicola,Abundance,6,0.259,0.288
D05,Control,Phocaeicola,Abundance,6,0.056,0.037
D05,High,Phocaeicola,Abundance,6,1.789,1.318
D05,Low,Phocaeicola,Abundance,6,0.204,0.18
D05,Medium,Phocaeicola,Abundance,6,0.568,0.467
D09,Control,Phocaeicola,Abundance,6,0.088,0.08
D09,High,Phocaeicola,Abundance,6,1.301,0.874
D09,Low,Phocaeicola,Abundance,6,1.01,0.635
D09,Medium,Phocaeicola,Abundance,6,1.419,1.659
D02,Control,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D02,High,Phylum_Bacteroidetes,Abundance,6,0.003,0.003
D02,Low,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D02,Medium,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D05,Control,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D05,High,Phylum_Bacteroidetes,Abundance,6,0.003,0.002
D05,Low,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D05,Medium,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D09,Control,Phylum_Bacteroidetes,Abundance,6,0,0.001
D09,High,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D09,Low,Phylum_Bacteroidetes,Abundance,6,0.001,0.002
D09,Medium,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D02,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.242,0.47
D02,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.004,0.004
D02,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.031,0.039
D02,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.046,0.056
D05,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.012,0.013
D05,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.003
D05,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.007,0.006
D05,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.011,0.022
D09,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.018,0.025
D09,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.006
D09,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.001,0.002
D09,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.005
D02,Control,Phylum_Firmicutes,Abundance,6,1.148,1.175
D02,High,Phylum_Firmicutes,Abundance,6,1.314,0.765
D02,Low,Phylum_Firmicutes,Abundance,6,0.639,0.294
D02,Medium,Phylum_Firmicutes,Abundance,6,1.09,0.452
D05,Control,Phylum_Firmicutes,Abundance,6,1.014,0.442
D05,High,Phylum_Firmicutes,Abundance,6,0.921,0.505
D05,Low,Phylum_Firmicutes,Abundance,6,0.551,0.239
D05,Medium,Phylum_Firmicutes,Abundance,6,1.4,0.81
D09,Control,Phylum_Firmicutes,Abundance,6,1.202,1.246
D09,High,Phylum_Firmicutes,Abundance,6,0.462,0.416
D09,Low,Phylum_Firmicutes,Abundance,6,0.623,0.632
D09,Medium,Phylum_Firmicutes,Abundance,6,0.622,0.16
D02,Control,Phylum_Proteobacteria,Abundance,6,0.002,0.002
D02,High,Phylum_Proteobacteria,Abundance,6,0.039,0.041
D02,Low,Phylum_Proteobacteria,Abundance,6,0.008,0.013
D02,Medium,Phylum_Proteobacteria,Abundance,6,0.014,0.021
D05,Control,Phylum_Proteobacteria,Abundance,6,0.001,0.002
D05,High,Phylum_Proteobacteria,Abundance,6,0.073,0.057
D05,Low,Phylum_Proteobacteria,Abundance,6,0.025,0.039
D05,Medium,Phylum_Proteobacteria,Abundance,6,0.048,0.076
D09,Control,Phylum_Proteobacteria,Abundance,6,0.008,0.019
D09,High,Phylum_Proteobacteria,Abundance,6,0.111,0.155
D09,Low,Phylum_Proteobacteria,Abundance,6,0.078,0.073
D09,Medium,Phylum_Proteobacteria,Abundance,6,0.013,0.015
D02,Control,Prevotella,Abundance,6,1.035,1.057
D02,High,Prevotella,Abundance,6,1.206,1.33
D02,Low,Prevotella,Abundance,6,2.383,1.09
D02,Medium,Prevotella,Abundance,6,0.995,0.765
D05,Control,Prevotella,Abundance,6,0.71,0.483
D05,High,Prevotella,Abundance,6,2.41,1.764
D05,Low,Prevotella,Abundance,6,2.465,2.47
D05,Medium,Prevotella,Abundance,6,0.862,0.828
D09,Control,Prevotella,Abundance,6,0.737,0.662
D09,High,Prevotella,Abundance,6,2.279,1.599
D09,Low,Prevotella,Abundance,6,4.642,3.927
D09,Medium,Prevotella,Abundance,6,2.665,2.442
D02,Control,Pseudoflavonifractor,Abundance,6,0.201,0.051
D02,High,Pseudoflavonifractor,Abundance,6,0.234,0.144
D02,Low,Pseudoflavonifractor,Abundance,6,0.2,0.043
D02,Medium,Pseudoflavonifractor,Abundance,6,0.172,0.073
D05,Control,Pseudoflavonifractor,Abundance,6,0.204,0.084
D05,High,Pseudoflavonifractor,Abundance,6,0.171,0.097
D05,Low,Pseudoflavonifractor,Abundance,6,0.143,0.04
D05,Medium,Pseudoflavonifractor,Abundance,6,0.246,0.198
D09,Control,Pseudoflavonifractor,Abundance,6,0.192,0.14
D09,High,Pseudoflavonifractor,Abundance,6,0.151,0.063
D09,Low,Pseudoflavonifractor,Abundance,6,0.137,0.075
D09,Medium,Pseudoflavonifractor,Abundance,6,0.129,0.053
D02,Control,Pseudomonas,Abundance,6,0,0
D02,High,Pseudomonas,Abundance,6,0,0
D02,Low,Pseudomonas,Abundance,6,0,0
D02,Medium,Pseudomonas,Abundance,6,0.001,0.001
D05,Control,Pseudomonas,Abundance,6,0.001,0.002
D05,High,Pseudomonas,Abundance,6,0,0.001
D05,Low,Pseudomonas,Abundance,6,0,0.001
D05,Medium,Pseudomonas,Abundance,6,0,0
D09,Control,Pseudomonas,Abundance,6,0,0
D09,High,Pseudomonas,Abundance,6,0.001,0.002
D09,Low,Pseudomonas,Abundance,6,0,0
D09,Medium,Pseudomonas,Abundance,6,0,0.001
D02,Control,Ralstonia,Abundance,6,0.001,0.001
D02,High,Ralstonia,Abundance,6,0.001,0.002
D02,Low,Ralstonia,Abundance,6,0.001,0.002
D02,Medium,Ralstonia,Abundance,6,0.001,0.002
D05,Control,Ralstonia,Abundance,6,0,0.001
D05,High,Ralstonia,Abundance,6,0.001,0.001
D05,Low,Ralstonia,Abundance,6,0.001,0.001
D05,Medium,Ralstonia,Abundance,6,0,0.001
D09,Control,Ralstonia,Abundance,6,0.001,0.002
D09,High,Ralstonia,Abundance,6,0.001,0.001
D09,Low,Ralstonia,Abundance,6,0,0
D09,Medium,Ralstonia,Abundance,6,0.001,0.001
D02,Control,Romboutsia,Abundance,6,0.002,0.003
D02,High,Romboutsia,Abundance,6,0.002,0.002
D02,Low,Romboutsia,Abundance,6,0.001,0.001
D02,Medium,Romboutsia,Abundance,6,0.001,0.002
D05,Control,Romboutsia,Abundance,6,0,0
D05,High,Romboutsia,Abundance,6,0.002,0.002
D05,Low,Romboutsia,Abundance,6,0.001,0.002
D05,Medium,Romboutsia,Abundance,6,0.001,0.001
D09,Control,Romboutsia,Abundance,6,0.001,0.001
D09,High,Romboutsia,Abundance,6,0.002,0.002
D09,Low,Romboutsia,Abundance,6,0.001,0.002
