ID,Animal ,Day ,Group ,Treatment ,TT_D05,TT_D08,TT_D10,TT_AV,TT_D05_log,TT_D08_log,TT_D10_log,TT_AV_log,bac_load,bac_load_log,Erysipelotrichaceae,Bacteroidaceae,Porphyromonadaceae,Akkermansiaceae,Rikenellaceae,Prevotellaceae,Sutterellaceae,Eggerthellaceae,Deferribacteraceae,Clostridiaceae_1,Atopobiaceae,Phocaeicola,Bacteroides,Longibaculum ,Amedibacillus,Holdemania
M12_D09,M12,D09,Low,Treatment ,NA,389,461,425,NA,2.589949601,2.663700925,2.62838893,24174145021,10.39413804,0.413233584,0.472628014,0.032856493,0,1.100692514,0.851741394,0.072031542,0.641965324,0.001263711,0.008845979,0.20977607,0.073295254,0.39933276,0.122579993,0.008845979,0.041702472
M13_D09,M13,D09,Medium,Treatment ,NA,648,536,592,NA,2.811575006,2.72916479,2.772321707,14292397716,10.16044691,0.458224012,0.92014338,0.035105872,0.005543032,1.64258527,0.655925502,0.024019807,0.75200473,0.049887292,0.179224715,0,0.140423488,0.779719892,0.088688519,0.001847677,0.062821034
M14_D09,M14,D09,Medium,Treatment ,NA,492,452,472,NA,2.691965103,2.655138435,2.673941999,5687697090,9.765131317,2.274211745,10.00138551,0.835263147,0.00593789,0.623478416,7.109633236,0.195950359,0.380024939,0,0,0,4.207984482,5.793401025,0.447321022,0,0.2038675454743384
M15_D09,M15,D09,Medium,Treatment ,NA,350,652,501,NA,2.544068044,2.814247596,2.699837726,26429586856,10.42828346,0.74208693,0.787520824,0.015144631,0.024610026,0.15523247,1.29486597,0.009465395,0.58685446,0.005679237,0.143873997,0.007572316,0.168484022,0.619036801,0.109798576,0,0.071936998
M16_D09,M16,D09,Medium,Treatment ,NA,444,534,489,NA,2.64738297,2.727541257,2.689308859,4415837221,9.650453678,2.896125999,0.894222171,0.516341189,0.020192114,0.034615052,3.377852136,0.173075259,4.223036317,0.002884588,0.002884588,0,0.308650878,0.585571293,0.57691753,0,0.063460928
M17_D09,M17,D09,Medium,Treatment ,NA,705,469,587,NA,2.848189117,2.671172843,2.768638101,2601276156,9.420461817,0.248161765,3.377757353,0.338541667,0.019914216,0.18995098,0.761335784,0.010723039,1.21629902,0.003063725,0.157781863,0,2.616421569,0.761335784,0,0.007659314,0.1256127450980392
M18_D09,M18,D09,Medium,Treatment ,NA,462,361,411.5,NA,2.664641976,2.557507202,2.61436984,4864231724,9.682881634,1.360142897,2.789112302,0.283499664,0.008193632,0.242531505,2.789112302,0.083575045,0.807892106,0.001638726,1.366697802,0.01802599,1.070088327,1.719023975,0.001638726,0,0.16387263818560216
M19_D09,M19,D09,High,Treatment ,NA,601,554,577.5,NA,2.778874472,2.743509765,2.761551989,20559281969,10.32132306,1.116804099,4.911536306,0.220158514,0.060043231,1.200864623,3.386438236,0.024017292,0.596429429,0.024017292,5.904251061,0,2.906092387,2.00544392,0.080057642,0,0.072051877
M20_D09,M20,D09,High,Treatment ,NA,659,650,654.5,NA,2.818885415,2.812913357,2.815909651,18802828141,10.27871219,1.623376623,4.303539598,0.40425261,0.019098549,0.082760377,0.655716832,0.038197097,0.660491469,0.068436465,0,0,1.511968424,2.791571174,0.725744843,0.039788642729819204,0
M21_D09,M21,D09,High,Treatment ,NA,458,473,465.5,NA,2.660865478,2.674861141,2.667919685,14113240758,10.15071269,1.512738854,2.719391366,0.283085633,0.015923567,0.12561925,1.790516631,0.08846426,0.628096249,0,0,0,1.180113234,1.539278132,0.419320594,0.00353857,0.08138712
M22_D09,M22,D09,High,Treatment ,NA,457,552,504.5,NA,2.6599162,2.741939078,2.702861171,3471872878,9.549274558,1.867195898,2.199619615,0.082692467,0.008269247,0.34896221,0.281154387,0.023153891,0.590424212,0.028115439,0,0,0.975771107,1.223848507,0.094269412,0.026461589,0.27288514016373105
M23_D09,M23,D09,High,Treatment ,NA,410,606,508,NA,2.612783857,2.782472624,2.705863712,7226590585,9.86750018,0.701402806,2.309882924,0.144147945,0.010547411,1.119783427,4.08536371,0.142390043,0.722497627,0.005273705,0,0,0.885982491,1.423900432,0.191611293,0.010547410610695074,0.015821116
M24_D09,M24,D09,High,Treatment ,NA,456,505,480.5,NA,2.658964843,2.703291378,2.681693392,19673405740,10.29811707,1.10989233,0.981439252,0.086597581,0.002886586,0.27278238,3.474006293,0.292988483,0.4546373,0.007216465,0.079381116,0.038968911,0.347833617,0.633605635,0.304534827,0.015876223190832203,0.096700632
