ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M19_D02,D02,24_01_23,M19,High ,20,2,4,10.4702154,241,1,0,,,,,,,,,,,,,,,,,,,,
M20_D02,D02,24_01_23,M20,High ,19.2,2,4,9.44425658,333,1,0,,,,,,,,,,,,,,,,,,,,
M21_D02,D02,24_01_23,M21,High ,20.5,3,5,9.406873957,241,1,0,,,,,,,,,,,,,,,,,,,,
M22_D02,D02,24_01_23,M22,High ,22.3,4,5,10.03342631,196,1,0,,,,,,,,,,,,,,,,,,,,
M23_D02,D02,24_01_23,M23,High ,19.9,NA,4,9.791673618,271,1,0,,,,,,,,,,,,,,,,,,,,
M24_D02,D02,24_01_23,M24,High ,20.3,2,3,10.27229444,231,1,0,,,,,,,,,,,,,,,,,,,,
M01_D03,D03,25_01_23,M01,Control ,21,3,9.3,,NA,,,,,,,,,,,,3715.882082,353.0985961,981.4778146,46.15519703,31.20930984,5050.458492,,,,,
M02_D03,D03,25_01_23,M02,Control ,20.7,4,6.8,,NA,,,,,,,,,,,,1650.319551,115.0060381,579.8501545,29.88467061,13.48806949,2345.175744,,,,,
M03_D03,D03,25_01_23,M03,Control ,17.8,3,9,,NA,,,,,,,,,,,,2947.829659,283.7951405,1581.611732,51.97734144,36.04199934,4813.236532,,,,,
M04_D03,D03,25_01_23,M04,Control ,21.9,3,8,,NA,,,,,,,,,,,,1066.814695,193.7946853,142.8246397,NA,7.607500733,1403.43402,,,,,
M05_D03,D03,25_01_23,M05,Control ,18.5,3,3,,NA,,,,,,,,,,,,1305.977602,96.76475553,132.3733328,NA,11.19400614,1535.115691,,,,,
M06_D03,D03,25_01_23,M06,Control ,20.8,3,9,,NA,,,,,,,,,,,,1455.141769,203.8637602,298.6963783,8.042677157,12.14479033,1957.701908,,,,,
M07_D03,D03,25_01_23,M07,Low,22,2,5,,NA,,,,,,,,,,,,1133.304532,149.2599988,169.2895973,NA,12.67932974,1451.854128,,,,,
M08_D03,D03,25_01_23,M08,Low,20.3,3,7,,NA,,,,,,,,,,,,1183.443469,151.7688055,208.9837818,NA,NA,1544.196056,,,,,
M09_D03,D03,25_01_23,M09,Low,18.4,3,6,,NA,,,,,,,,,,,,3027.423872,258.951637,709.8201883,61.12442519,12.61782978,3996.195697,,,,,
M10_D03,D03,25_01_23,M10,Low,19.5,3,6,,NA,,,,,,,,,,,,1631.878295,250.3494197,239.608431,20.52384952,14.35278379,2121.836145,,,,,
M11_D03,D03,25_01_23,M11,Low,19.1,4,7,,NA,,,,,,,,,,,,1211.94708,97.70054852,221.6323848,13.42209152,10.80133407,1531.280014,,,,,
M12_D03,D03,25_01_23,M12,Low,21.3,4,10,,NA,,,,,,,,,,,,1619.924143,116.6756278,224.4814886,NA,6.097751886,1961.081259,,,,,
M13_D03,D03,25_01_23,M13,Medium,19.6,4,10,,NA,,,,,,,,,,,,2511.570088,246.3235595,1010.217581,34.64064466,26.59928223,3768.111229,,,,,
M14_D03,D03,25_01_23,M14,Medium,21.6,3,10,,NA,,,,,,,,,,,,963.2816863,80.41378865,207.998376,NA,7.340695167,1251.693851,,,,,
M15_D03,D03,25_01_23,M15,Medium,19.7,4,11,,NA,,,,,,,,,,,,2346.475616,230.9308445,718.4811964,20.74587253,14.19638294,3295.887657,,,,,
M16_D03,D03,25_01_23,M16,Medium,20.2,2,18,,NA,,,,,,,,,,,,943.7761369,79.7311686,139.2890254,NA,6.417727345,1162.796331,,,,,
M17_D03,D03,25_01_23,M17,Medium,22.3,5,12,,NA,,,,,,,,,,,,2390.663415,270.6022572,482.0754206,27.35123692,25.61791258,3143.341092,,,,,
M18_D03,D03,25_01_23,M18,Medium,20.4,5,10,,NA,,,,,,,,,,,,1667.299659,161.3306944,477.9961167,31.26302387,9.740155139,2306.62647,,,,,
M19_D03,D03,25_01_23,M19,High ,20.7,4,7,,NA,,,,,,,,,,,,956.1800417,95.75091627,221.6053464,NA,NA,1273.536304,,,,,
M20_D03,D03,25_01_23,M20,High ,19.4,4,11,,NA,,,,,,,,,,,,1995.568467,145.0863538,501.3463573,6.655890129,10.0909238,2642.001178,,,,,
M21_D03,D03,25_01_23,M21,High ,20.5,4,11,,NA,,,,,,,,,,,,824.3730952,53.37541498,143.2759797,NA,NA,1021.02449,,,,,
M22_D03,D03,25_01_23,M22,High ,21.7,4,11,,NA,,,,,,,,,,,,1837.740153,421.817198,306.2977881,23.50341714,23.59027981,2565.855139,,,,,
M23_D03,D03,25_01_23,M23,High ,19.3,3,11,,NA,,,,,,,,,,,,997.6490528,73.70068302,111.6932583,NA,5.612868993,1183.042994,,,,,
M24_D03,D03,25_01_23,M24,High ,21.1,4,12,,NA,,,,,,,,,,,,1898.792435,193.8186719,285.9410812,16.72543644,13.93578203,2378.552188,,,,,
M01_D04,D04,26_01_23,M01,Control ,20.7,3,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M02_D04,D04,26_01_23,M02,Control ,20.6,6,3,,NA,,,,,,,,,,,,,,,,,,,,,,
M03_D04,D04,26_01_23,M03,Control ,19.2,4,5,,NA,,,,,,,,,,,,,,,,,,,,,,
