ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M13_D08,D08,30_01_23,M13,Medium,20.2,3,5,,648,2.391143911,377,,,,,,,,,,,,,,,,,,,,
M14_D08,D08,30_01_23,M14,Medium,19.7,2,4,,492,1.822222222,222,,,,,,,,,,,,,,,,,,,,
M15_D08,D08,30_01_23,M15,Medium,20.1,3,6,,350,1.707317073,145,,,,,,,,,,,,,,,,,,,,
M16_D08,D08,30_01_23,M16,Medium,18.7,2,4,,444,1.203252033,75,,,,,,,,,,,,,,,,,,,,
M17_D08,D08,30_01_23,M17,Medium,22.2,4,6,,705,3.422330097,499,,,,,,,,,,,,,,,,,,,,
M18_D08,D08,30_01_23,M18,Medium,19.8,2,5,,462,2.905660377,303,,,,,,,,,,,,,,,,,,,,
M19_D08,D08,30_01_23,M19,High ,20.1,3,5,,601,2.493775934,360,,,,,,,,,,,,,,,,,,,,
M20_D08,D08,30_01_23,M20,High ,18.9,4,6,,659,1.978978979,326,,,,,,,,,,,,,,,,,,,,
M21_D08,D08,30_01_23,M21,High ,20,3,6,,458,1.900414938,217,,,,,,,,,,,,,,,,,,,,
M22_D08,D08,30_01_23,M22,High ,21.9,4,6,,457,2.331632653,261,,,,,,,,,,,,,,,,,,,,
M23_D08,D08,30_01_23,M23,High ,19.5,3,6,,410,1.512915129,139,,,,,,,,,,,,,,,,,,,,
M24_D08,D08,30_01_23,M24,High ,20.8,3,5,,456,1.974025974,225,,,,,,,,,,,,,,,,,,,,
M01_D09,D09,31_01_23,M01,Control ,21,3,6,9.944362482,NA,,,,,,,,,,,,,,,,,,,,,,
M02_D09,D09,31_01_23,M02,Control ,20.4,4,8,9.983493312,NA,,,,,,,,,,,,,,,,,,,,,,
M03_D09,D09,31_01_23,M03,Control ,18.2,4,6,9.378067076,NA,,,,,,,,,,,,,,,,,,,,,,
M04_D09,D09,31_01_23,M04,Control ,22.6,5,7,9.421889984,NA,,,,,,,,,,,,,,,,,,,,,,
M05_D09,D09,31_01_23,M05,Control ,18.3,4,7,10.30119114,NA,,,,,,,,,,,,,,,,,,,,,,
M06_D09,D09,31_01_23,M06,Control ,21.2,4,7,9.367983766,NA,,,,,,,,,,,,,,,,,,,,,,
M07_D09,D09,31_01_23,M07,Low,21.7,5,7,9.853276157,NA,,,,,,,,,,,,,,,,,,,,,,
M08_D09,D09,31_01_23,M08,Low,20.3,3,6,10.32527357,NA,,,,,,,,,,,,,,,,,,,,,,
M09_D09,D09,31_01_23,M09,Low,18.5,4,6,9.340509751,NA,,,,,,,,,,,,,,,,,,,,,,
M10_D09,D09,31_01_23,M10,Low,20.5,4,7,9.502241018,NA,,,,,,,,,,,,,,,,,,,,,,
M11_D09,D09,31_01_23,M11,Low,18.3,5,5,10.06048453,NA,,,,,,,,,,,,,,,,,,,,,,
M12_D09,D09,31_01_23,M12,Low,20.7,5,7,10.39413804,NA,,,,,,,,,,,,,,,,,,,,,,
M13_D09,D09,31_01_23,M13,Medium,20,4,7,10.16044691,NA,,,,,,,,,,,,,,,,,,,,,,
M14_D09,D09,31_01_23,M14,Medium,20.3,3,5,9.765131317,NA,,,,,,,,,,,,,,,,,,,,,,
M15_D09,D09,31_01_23,M15,Medium,20.6,5,7,10.42828346,NA,,,,,,,,,,,,,,,,,,,,,,
M16_D09,D09,31_01_23,M16,Medium,19,2,6,9.650453678,NA,,,,,,,,,,,,,,,,,,,,,,
M17_D09,D09,31_01_23,M17,Medium,21.5,3,10,9.420461817,NA,,,,,,,,,,,,,,,,,,,,,,
M18_D09,D09,31_01_23,M18,Medium,20.5,4,5,9.682881634,NA,,,,,,,,,,,,,,,,,,,,,,
M19_D09,D09,31_01_23,M19,High ,19.9,3,5,10.32132306,NA,,,,,,,,,,,,,,,,,,,,,,
M20_D09,D09,31_01_23,M20,High ,18.9,3,6,10.27871219,NA,,,,,,,,,,,,,,,,,,,,,,
M21_D09,D09,31_01_23,M21,High ,20.1,4,6,10.15071269,NA,,,,,,,,,,,,,,,,,,,,,,
M22_D09,D09,31_01_23,M22,High ,21.5,3,6,9.549274558,NA,,,,,,,,,,,,,,,,,,,,,,
M23_D09,D09,31_01_23,M23,High ,19.8,4,5,9.86750018,NA,,,,,,,,,,,,,,,,,,,,,,
M24_D09,D09,31_01_23,M24,High ,21.1,4,8,10.29811707,NA,,,,,,,,,,,,,,,,,,,,,,
M01_D10,D10,01_02_23,M01,Control ,20.7,3,4,,384,1.811320755,172,,,,,,,,,,,,,,,,,,,,
M02_D10,D10,01_02_23,M02,Control ,20.7,3,4,,184,0.751020408,-61,,,,,,,,,,,,,,,,,,,,
M03_D10,D10,01_02_23,M03,Control ,18,2,3,,393,1.00511509,2,,,,,,,,,,,,,,,,,,,,
M04_D10,D10,01_02_23,M04,Control ,22.8,3,4,,197,0.696113074,-86,,,,,,,,,,,,,,,,,,,,
M05_D10,D10,01_02_23,M05,Control ,18.2,2,3,,301,1.567708333,109,,,,,,,,,,,,,,,,,,,,
M06_D10,D10,01_02_23,M06,Control ,21.2,3,5,,385,1.170212766,56,,,,,,,,,,,,,,,,,,,,
M07_D10,D10,01_02_23,M07,Low,21.4,2,5,,382,2.788321168,245,,,,,,,,,,,,,,,,,,,,
M08_D10,D10,01_02_23,M08,Low,20.6,4,4,,434,1.404530744,125,,,,,,,,,,,,,,,,,,,,
M09_D10,D10,01_02_23,M09,Low,18.5,3,5,,413,1.894495413,195,,,,,,,,,,,,,,,,,,,,
M10_D10,D10,01_02_23,M10,Low,19.8,3,1,,369,1.458498024,116,,,,,,,,,,,,,,,,,,,,
M11_D10,D10,01_02_23,M11,Low,18.6,3,6,,368,1.508196721,124,,,,,,,,,,,,,,,,,,,,
M12_D10,D10,01_02_23,M12,Low,21.1,4,5,,461,1.526490066,159,,,,,,,,,,,,,,,,,,,,
M13_D10,D10,01_02_23,M13,Medium,20.3,3,5,,536,1.977859779,265,,,,,,,,,,,,,,,,,,,,
M14_D10,D10,01_02_23,M14,Medium,20.7,3,4,,452,1.674074074,182,,,,,,,,,,,,,,,,,,,,
M15_D10,D10,01_02_23,M15,Medium,20.8,3,5,,652,3.180487805,447,,,,,,,,,,,,,,,,,,,,
M16_D10,D10,01_02_23,M16,Medium,19,3,5,,534,1.447154472,165,,,,,,,,,,,,,,,,,,,,
M17_D10,D10,01_02_23,M17,Medium,22,3,4,,469,2.276699029,263,,,,,,,,,,,,,,,,,,,,
M18_D10,D10,01_02_23,M18,Medium,20.3,3,5,,361,2.270440252,202,,,,,,,,,,,,,,,,,,,,
M19_D10,D10,01_02_23,M19,High ,20.4,3,6,,554,2.298755187,313,,,,,,,,,,,,,,,,,,,,
M20_D10,D10,01_02_23,M20,High ,19.1,3,5,,650,1.951951952,317,,,,,,,,,,,,,,,,,,,,
M21_D10,D10,01_02_23,M21,High ,20.7,3,6,,473,1.962655602,232,,,,,,,,,,,,,,,,,,,,
M22_D10,D10,01_02_23,M22,High ,21.7,4,5,,552,2.816326531,356,,,,,,,,,,,,,,,,,,,,
M23_D10,D10,01_02_23,M23,High ,20.2,3,5,,606,2.236162362,335,,,,,,,,,,,,,,,,,,,,
M24_D10,D10,01_02_23,M24,High ,21.6,5,4,,505,2.186147186,274,,,,,,,,,,,,,,,,,,,,
M01_D11,D11,02_02_23,M01,Control ,21.1,4,6,,NA,,,15.1475037,5290.55298,641.5117852,1618.991353,88.329,48.816,116.738,9.399,,,,,,,,,,,,
M02_D11,D11,02_02_23,M02,Control ,20.5,2,7,,NA,,,6.47691491,2807.170521,548.4474121,756.6341207,57.561,46.053,79.026,8.289,,,,,,,,,,,,
M03_D11,D11,02_02_23,M03,Control ,18.3,4,6,,NA,,,45.7380992,4261.904992,830.7547549,2809.344311,100.624,45.064,126.425,9.644,,,,,,,,,,,,
M04_D11,D11,02_02_23,M04,Control ,22.6,4,6,,NA,,,52.2810102,3826.217252,699.273897,1553.012149,86.964,47.77,109.113,8.616,,,,,,,,,,,,
M05_D11,D11,02_02_23,M05,Control ,18.2,4,8,,NA,,,44.6375442,6289.659675,806.3231014,1723.716712,92.584,49.082,158.966,10.78,,,,,,,,,,,,
M06_D11,D11,02_02_23,M06,Control ,21.1,3,7,,NA,,,69.6575096,6070.00205,701.7428251,1426.513341,92.943,54.65,144.187,10.945,,,,,,,,,,,,
M07_D11,D11,02_02_23,M07,Low,21.4,4,8,,NA,,,68.7540134,2939.535425,595.3278425,2722.053262,66.248,38.74,101.722,9.96,,,,,,,,,,,,
M08_D11,D11,02_02_23,M08,Low,20.4,4,12,,NA,,,45.3672196,2711.195666,766.5567583,1236.337117,55.569,36.709,89.505,7.996,,,,,,,,,,,,
M09_D11,D11,02_02_23,M09,Low,18.5,3,7,,NA,,,87.076767,4000.744161,617.367003,1288.010317,77.328,44.486,115.751,9.07,,,,,,,,,,,,
M10_D11,D11,02_02_23,M10,Low,20.2,3,13,,NA,,,100.078002,2304.180663,747.0825373,950.3941585,40.33,29.598,58.072,6.808,,,,,,,,,,,,
M11_D11,D11,02_02_23,M11,Low,18.7,3,6,,NA,,,107.745636,4735.003254,793.9886528,1491.871732,83.875,51.608,181.956,11.539,,,,,,,,,,,,
M12_D11,D11,02_02_23,M12,Low,21.2,3,7,,NA,,,66.8931088,3348.656903,840.2002439,2311.312418,62.676,39.816,129.446,8.354,,,,,,,,,,,,
M13_D11,D11,02_02_23,M13,Medium,20.3,4,7,,NA,,,87.6865339,4125.221474,849.2464192,2288.163043,66.402,36.392,99.901,8.292,,,,,,,,,,,,
M14_D11,D11,02_02_23,M14,Medium,21.1,4,6,,NA,,,60.9553171,3294.263307,487.543232,769.2031323,25.022,24.32,84.543,8.374,,,,,,,,,,,,
M15_D11,D11,02_02_23,M15,Medium,20.3,3,7,,NA,,,66.3028618,3022.004615,875.9401648,979.7624653,67.092,43.089,91.452,8.886,,,,,,,,,,,,
M16_D11,D11,02_02_23,M16,Medium,19.4,3,8,,NA,,,95.2965371,3922.541324,925.8722104,3083.997264,80.688,40.413,137.595,9.637,,,,,,,,,,,,
M17_D11,D11,02_02_23,M17,Medium,23.1,5,10,,NA,,,62.8524731,6706.986447,699.7956998,3208.740444,138.177,87.625,184.756,10.456,,,,,,,,,,,,
M18_D11,D11,02_02_23,M18,Medium,20.3,3,6,,NA,,,82.3343416,3977.542409,776.4513611,1731.152496,50.857,33.639,103.327,8.343,,,,,,,,,,,,
M19_D11,D11,02_02_23,M19,High ,20.5,3,8,,NA,,,66.8131698,3584.963853,966.5533105,1753.386104,66.626,40.106,74.818,7.734,,,,,,,,,,,,
M20_D11,D11,02_02_23,M20,High ,18.5,3,8,,NA,,,106.143139,4069.824756,966.65778,1857.609777,94.87,62.832,140.432,7.716,,,,,,,,,,,,
M21_D11,D11,02_02_23,M21,High ,20.3,3,8,,NA,,,133.073274,8365.537372,2291.544011,2614.352907,167.668,125.16,234.068,15.679,,,,,,,,,,,,
M22_D11,D11,02_02_23,M22,High ,21.8,3,8,,NA,,,128.192349,6015.519879,1422.284293,3011.702315,132.058,65.648,225.506,9.677,,,,,,,,,,,,
M23_D11,D11,02_02_23,M23,High ,19.8,2,7,,NA,,,93.0247834,4046.895315,924.9073919,2811.355497,78.549,45.77,149.979,9.291,,,,,,,,,,,,
M24_D11,D11,02_02_23,M24,High ,22.1,4,7,,NA,,,83.0277656,4363.937802,965.77683,2439.022462,80.923,47.097,132.687,8.24,,,,,,,,,,,,
